dataset,query_id,label,fixed_f1,chosen_f1,chosen_tokens,fixed_tokens,features_json
scifact,268,coverage_guided_ultra,0.112676,0.115942,522.0,3142.0,"[5.0, 5.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.359974, 0.2390675, 0.05615396272080894, 0.17788600000000002, 0.08910365748637407, 0.20222849428014245, 0.06974670392861704, 0.0036558195869702023, 0.3970175623795052, 0.20222849428014245, 2.0, 0.15057421021259687, 0.3944388091229465, 0.5814374601315528, 0.41856253986844727, 1.6584230942881626, 0.46854759809574825, 2.2769470154672016, 0.9888655244034837]"
scifact,269,coverage_guided_ultra,0.108108,0.150943,503.0,3091.0,"[5.0, 5.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.338613, 0.2331146, 0.052773800420663285, 0.169526, 0.050931299152720017, 0.2107007114316344, 0.07267293340775455, 0.030613118811150152, 0.3411327976185203, 0.2107007114316344, 2.0, 0.1452560242901989, 0.39036636915920325, 0.5827670167376904, 0.4172329832623096, 1.5177565317950166, 0.46194679394048305, 2.2783721626319564, 0.9894844579530369]"
scifact,274,answer_aware_fallback,0.208955,0.250000,1235.0,5935.0,"[22.0, 21.0, 0.9545454545454546, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.571189, 0.2135533, 0.1652979106117497, 0.48813499999999993, 0.29070587843953577, 0.04745539567463653, 0.3247348951047727, 0.038607186062756815, 0.782585098802673, 0.3247348951047727, 3.0, 0.2674690580758995, 0.6342046692792853, 0.7825212722069853, 0.21747872779301466, 4.5995007448564635, 0.6877309168019077, 2.0379064442675943, 0.8850515233804929]"
scifact,275,answer_aware_fallback,0.295082,0.290323,1182.0,3980.0,"[16.0, 16.0, 1.0, 0.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.275544, 0.219578, 0.03980086951060241, 0.11818900000000002, 0.001731120982492833, 0.03902099120285683, 0.12915178701042315, 0.035047034230467726, 0.20875794791394484, 0.12915178701042315, 3.0, 0.12548798149177057, 0.37113280929783493, 0.5745912614196322, 0.4254087385803678, 1.263835759693976, 0.4352760515007705, 2.286029519019956, 0.9928100055783117]"
scifact,279,coverage_guided_ultra,0.375000,0.484848,405.0,3004.0,"[11.0, 11.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.296032, 0.12330990000000001, 0.07034939538681197, 0.22715600000000002, 0.36255877742946707, 0.08614609231434438, 0.12037549994595179, 0.06854664360609665, 0.6757546481461464, 0.36255877742946707, 1.0, 0.24007155954225895, 0.5254533496499469, 0.7067469846297824, 0.2932530153702176, 3.0840843030827094, 0.5928192253429633, 2.162443738428564, 0.9391373830257642]"
scifact,294,answer_aware_fallback,0.125000,0.137931,660.0,2501.0,"[12.0, 12.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.144244, 0.1200048, 0.016951864444951184, 0.050067000000000014, 0.008984775796567061, 0.05704916668977556, 0.008284573361803622, 0.06241507445716977, 0.1601869055212003, 0.08586838967305405, 4.0, 0.12019852539231765, 0.35157843686252555, 0.5637882818020612, 0.43621171819793875, 1.1907411382060131, 0.4205656106116534, 2.2926010547818825, 0.9956639872973462]"
scifact,295,adaptive_k_full,0.303030,0.333333,710.0,2916.0,"[18.0, 17.0, 0.9444444444444444, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.456547, 0.27836150000000004, 0.09108024080913489, 0.261954, 0.06578950250467094, 0.20645848072597117, 0.13271141853960272, 0.0026240452790183806, 0.4571511804918223, 0.20645848072597117, 2.0, 0.16401226462711258, 0.4365945003170338, 0.6232223206154587, 0.3767776793845413, 1.8421335076421503, 0.5076266528104042, 2.252730671847252, 0.9783484999974666]"
scifact,298,answer_aware_fallback,0.376812,0.361111,744.0,2824.0,"[13.0, 13.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.263568, 0.1964963, 0.034402234067135815, 0.10436600000000001, 0.05744248163661755, 0.08754097614277913, 0.13999802707460687, 0.01368906695805257, 0.3023735810113519, 0.13999802707460687, 3.0, 0.1341338233849696, 0.37524930494874464, 0.564732771049633, 0.435267228950367, 1.433431952662722, 0.44887156756927876, 2.2878797927812013, 0.9936135692628308]"
scifact,300,coverage_guided_ultra,0.119403,0.123077,604.0,3284.0,"[28.0, 15.0, 0.5357142857142857, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.493732, 0.24393950000000003, 0.11362377624709541, 0.345806, 0.1734301199841209, 0.2219017604692425, 0.1548228593649996, 0.08375393938411932, 0.5646646358753332, 0.2219017604692425, 2.0, 0.20239936541642495, 0.49208102828775163, 0.6712410249262624, 0.3287589750737375, 2.297079636548044, 0.5615718284978592, 2.2058887413162016, 0.9580053080461359]"
scifact,303,coverage_guided_ultra,0.090909,0.090909,420.0,3105.0,"[14.0, 13.0, 0.9285714285714286, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.44821, 0.13920369999999999, 0.10478445342229925, 0.362001, 0.6528613819415006, 0.08971910488387143, 0.009288056937596215, 0.0019477477075477985, 0.7733740880390888, 0.6528613819415006, 1.0, 0.3219813841155084, 0.516637847988236, 0.6695008825196457, 0.3304991174803543, 4.412558084586911, 0.5900389460047734, 2.1064082533415043, 0.9148014810616821]"
scifact,312,task_aware_coverage_ultra,0.106667,0.242424,457.0,2632.0,"[14.0, 12.0, 0.8571428571428571, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.192228, 0.1480104, 0.023655063864635836, 0.06989900000000002, 0.03953118172170559, 0.12024783070104249, 0.03569719291674459, 0.00419813970909546, 0.26213142726345806, 0.12024783070104249, 2.0, 0.12987465745650306, 0.3637386291774091, 0.5640563095566258, 0.4359436904433743, 1.355254901684304, 0.4358517052887916, 2.2901795439600505, 0.9946123385095555]"
scifact,314,fixed_10_full,0.294118,0.294118,2918.0,2918.0,"[23.0, 18.0, 0.782608695652174, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.270426, 0.18844460000000002, 0.041497853412435684, 0.121224, 0.08202613654012561, 0.08246618298536379, 0.15457833196512172, 0.050579456117385145, 0.35101654426719325, 0.15457833196512172, 3.0, 0.14350424474885456, 0.3951362893922139, 0.5859844219468214, 0.4140155780531785, 1.5408713291016627, 0.4715330953967116, 2.2795593703055057, 0.9900000556945325]"
scifact,324,coverage_guided_ultra,0.059701,0.131148,350.0,3500.0,"[6.0, 6.0, 1.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.223356, 0.139493, 0.035370009403448005, 0.12248099999999999, 0.22528161320940562, 0.04110030623757586, 0.14660452371998065, 0.005882985010476591, 0.4173427174555418, 0.22528161320940562, 1.0, 0.1601198626454374, 0.40163449061960094, 0.5889220247610991, 0.41107797523890083, 1.7162747810050714, 0.47126373936032856, 2.2727198443568257, 0.9870296873161867]"
scifact,327,task_aware_coverage_ultra,0.338028,0.470588,368.0,3301.0,"[12.0, 12.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.239846, 0.1503061, 0.03108889462959402, 0.10972200000000001, 0.33744569432052235, 0.03355486437130492, 0.01827839530365317, 0.01142399706478332, 0.419552546217156, 0.33744569432052235, 1.0, 0.15957170068280663, 0.3656671286128773, 0.5557439119237343, 0.4442560880762657, 1.7228088321912396, 0.44273707240292115, 2.2838029314796926, 0.9918430108961007]"
scifact,338,adaptive_k_full,0.202899,0.238806,831.0,4389.0,"[6.0, 6.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.484631, 0.19234579999999998, 0.10636599282458657, 0.35919, 0.4314829220582257, 0.19348741619912888, 0.014803015077450651, 0.011559310073024623, 0.7009580484946278, 0.4314829220582257, 1.0, 0.2519581919646803, 0.4896925225297355, 0.6558006465438808, 0.3441993534561192, 3.3440124202173536, 0.563566968463326, 2.181978542086452, 0.9476212404594484]"
scifact,343,coverage_guided_ultra,0.108108,0.285714,689.0,4759.0,"[17.0, 16.0, 0.9411764705882353, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.280537, 0.2207729, 0.03175643477612057, 0.09523999999999999, 0.05093802243554316, 0.0756442109240493, 0.05435646634846735, 0.009824016083439906, 0.24974602280626082, 0.0756442109240493, 2.0, 0.12707039677424176, 0.3586536209833725, 0.5580671359573571, 0.44193286404264287, 1.3328819711698356, 0.43151631544872115, 2.2924960501238356, 0.9956183843537824]"
scifact,350,fixed_10_full,0.405063,0.405063,2944.0,2944.0,"[14.0, 13.0, 0.9285714285714286, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.293449, 0.19893650000000002, 0.06111950362077559, 0.16204400000000002, 0.026035188397302546, 0.02473683672460959, 0.28570893068301484, 0.00031351273986283387, 0.354385259448831, 0.28570893068301484, 3.0, 0.14750887846121752, 0.43119688945970197, 0.6243057458033091, 0.3756942541966909, 1.548911350980444, 0.49751159525274663, 2.2566670894619576, 0.9800580644460001]"
scifact,354,adaptive_k_full,0.349206,0.423077,402.0,2663.0,"[11.0, 10.0, 0.9090909090909091, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.51639, 0.1505321, 0.12356362845550466, 0.426688, 0.7115552198919421, 0.01483762272700866, 0.037752473905381584, 0.006541567419973288, 0.7977865566722826, 0.7115552198919421, 1.0, 0.34304311173497215, 0.5358511573279056, 0.6861274106984491, 0.313872589301551, 4.945269629672192, 0.608727610264847, 2.0750665941218536, 0.9011899714088957]"
scifact,362,adaptive_k_full,0.114286,0.115942,573.0,2814.0,"[25.0, 23.0, 0.92, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.239094, 0.1671108, 0.030080552783484548, 0.103661, 0.14376354069947392, 0.16087396588789346, 0.00987895973968387, 0.023425932896684966, 0.3170343044994856, 0.16087396588789346, 2.0, 0.14307513338455682, 0.3650703605033307, 0.5608614164973179, 0.4391385835026821, 1.4642023846705003, 0.4379328563060631, 2.2874103789844784, 0.9934097054411849]"
scifact,380,answer_aware_fallback,0.337349,0.379747,878.0,3242.0,"[12.0, 12.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.214372, 0.18020229999999998, 0.020309715537397365, 0.059553999999999996, 0.03938480771742581, 0.016765249192991685, 0.08976918627432678, 0.02590356949601628, 0.1538867016214805, 0.08976918627432678, 3.0, 0.11896185564779141, 0.34552056216818544, 0.5477788019353804, 0.45222119806461963, 1.1818748173753881, 0.41780893157549687, 2.2962896440598968, 0.9972659212667954]"
scifact,384,task_aware_coverage_ultra,0.210526,0.220000,504.0,4615.0,"[13.0, 13.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.410942, 0.14980880000000002, 0.08888368209047147, 0.305299, 0.5932102340476271, 0.08041280764682125, 0.02541477872789833, 0.01595845642450758, 0.7024470606557616, 0.5932102340476271, 1.0, 0.27431098840655554, 0.47542667720454335, 0.6396059510522746, 0.36039404894772537, 3.3607465017951044, 0.5535274766012311, 2.173613445063334, 0.9439883249817229]"
scifact,385,adaptive_k_full,0.285714,0.298507,385.0,2900.0,"[13.0, 13.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.296814, 0.16884090000000002, 0.04350537776976544, 0.158398, 0.4296832359659585, 0.020339337093263844, 0.008261065852688921, 4.042935980112798e-05, 0.4750449776627787, 0.4296832359659585, 1.0, 0.17579508282649525, 0.3727372929189551, 0.5602528771168597, 0.4397471228831402, 1.904925103007432, 0.4474671402995093, 2.2745129020386883, 0.9878084023731538]"
scifact,386,coverage_guided_ultra,0.390805,0.478873,355.0,3697.0,"[17.0, 16.0, 0.9411764705882353, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.336896, 0.1525366, 0.06623781298956057, 0.23127999999999999, 0.4432436122720364, 0.10142002279635261, 0.000311668882978788, 0.010415677241641292, 0.6171221979483282, 0.4432436122720364, 1.0, 0.2208624028593793, 0.4443956401283364, 0.629456799220646, 0.37054320077935393, 2.6117993642918056, 0.5160875268658386, 2.2254262457701217, 0.9664903384206337]"
scifact,388,coverage_guided_ultra,0.210526,0.307692,459.0,2770.0,"[9.0, 9.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.404851, 0.22916720000000002, 0.08303728335247969, 0.256772, 0.08138302733598295, 0.3465892390039792, 0.0666788522197055, 0.0065653783737721315, 0.4963900299122393, 0.3465892390039792, 2.0, 0.17666184340516444, 0.44000188508652194, 0.6182464157174324, 0.38175358428256745, 1.9856636274014527, 0.5082902003641518, 2.2437191744468614, 0.9744348564027915]"
scifact,399,fixed_10_full,0.447059,0.447059,4905.0,4905.0,"[11.0, 10.0, 0.9090909090909091, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.450717, 0.20831, 0.10984859878851436, 0.34964399999999995, 0.2305837143928451, 0.20097533485535277, 0.04999367674172485, 0.045878012145093267, 0.5945837410170906, 0.2305837143928451, 1.0, 0.21636839326004512, 0.5058384139023571, 0.7057332821275983, 0.2942667178724017, 2.4666006304452517, 0.5613468334901344, 2.1753707690483943, 0.9447515210913509]"
scifact,410,adaptive_k_full,0.170732,0.172840,327.0,2986.0,"[9.0, 9.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.632445, 0.266095, 0.1276618091826996, 0.45732400000000006, 0.5365715595822562, 0.013612250867664346, 0.06251768928523431, 0.010467313363217377, 0.6474428606440086, 0.5365715595822562, 1.0, 0.2376763937691426, 0.45473308404892987, 0.6305793043837726, 0.36942069561622726, 2.836419656191557, 0.5250058790911749, 2.2120857581432185, 0.960696638258371]"
scifact,411,adaptive_k_full,0.303797,0.289157,333.0,2986.0,"[9.0, 9.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.610323, 0.2581281, 0.12346337154755654, 0.44019499999999995, 0.5288068776696929, 0.013840212477655246, 0.06356470262467583, 0.010643544483822504, 0.6415340729417046, 0.5288068776696929, 1.0, 0.23644190616984354, 0.45598909998562726, 0.6338535014204187, 0.3661464985795812, 2.789665417314197, 0.5256208902236165, 2.211998001929192, 0.9606585262188665]"
scifact,415,adaptive_k_full,0.338028,0.352941,487.0,4255.0,"[13.0, 13.0, 1.0, 0.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.473495, 0.2377672, 0.08428280440493184, 0.297792, 0.4430162937306624, 0.026845056441989826, 0.03405315790029467, 0.08206422454302581, 0.5071817020243086, 0.4430162937306624, 1.0, 0.1991422702542655, 0.4156342842915255, 0.6125668300758053, 0.3874331699241948, 2.0291454357673335, 0.48784824723702636, 2.2497480014227973, 0.9770531426907899]"
scifact,421,adaptive_k_full,0.135593,0.173913,306.0,3298.0,"[13.0, 12.0, 0.9230769230769231, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.177898, 0.1195371, 0.022177220030698167, 0.079183, 0.23026678208861256, 0.08221003046689676, 0.014862449268682095, 0.016509460477352165, 0.35765438622131784, 0.23026678208861256, 1.0, 0.14882241580229066, 0.3656948344907146, 0.5613972565839392, 0.4386027434160608, 1.556794315317838, 0.4392198274432891, 2.2867809473885288, 0.9931363467723284]"
scifact,431,answer_aware_fallback,0.265060,0.282051,808.0,2561.0,"[12.0, 12.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.333965, 0.2564707, 0.042707792043256, 0.130996, 0.10604105220606949, 0.02480499453535554, 0.035243214109262955, 0.11395804949620479, 0.17928824876858349, 0.11395804949620479, 5.0, 0.1302156542638204, 0.35980055421535484, 0.5752583043599133, 0.42474169564008674, 1.2184545895676222, 0.42834729077416334, 2.2887952070626354, 0.9940111286339132]"
scifact,436,coverage_guided_ultra,0.296296,0.292683,498.0,2546.0,"[14.0, 14.0, 1.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.321176, 0.1318512, 0.06533066418122503, 0.22215800000000002, 0.5087553241836252, 0.1189098811866391, 0.02347622487358953, 7.783894188859417e-05, 0.6751220514608812, 0.5087553241836252, 1.0, 0.24358974358974358, 0.4539488453650782, 0.6180641511036683, 0.3819358488963316, 3.0780790278217034, 0.5343980157514904, 2.208245104560332, 0.9590286636004215]"
scifact,437,coverage_guided_ultra,0.119403,0.119403,1520.0,3362.0,"[21.0, 18.0, 0.8571428571428571, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.237099, 0.1872249, 0.0382611515860409, 0.098606, 0.04642786346631583, 0.02112619623026662, 0.0005946882947629566, 0.2436788008384683, 0.0786000784482432, 0.2436788008384683, 5.0, 0.1266386041600236, 0.36548130083124625, 0.6001744426088623, 0.39982555739113756, 1.0853050630999301, 0.43072681436066584, 2.281499471041542, 0.9908426307385294]"
scifact,439,task_aware_coverage_ultra,0.173913,0.258065,457.0,3036.0,"[15.0, 15.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.243558, 0.1461904, 0.04164385624362854, 0.136529, 0.25026071818622264, 0.014366187930595596, 0.15052677391011587, 0.008790513963819723, 0.43359281978009345, 0.25026071818622264, 1.0, 0.16660327901148092, 0.4140278705031247, 0.6058304786087185, 0.3941695213912816, 1.765514341841062, 0.48529449495678384, 2.2649570196467717, 0.983658335380628]"
scifact,440,coverage_guided_ultra,0.228571,0.258065,455.0,2876.0,"[15.0, 15.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0, 0.0, 0.242138, 0.1472814, 0.03995894108006367, 0.13511099999999998, 0.25025811727196884, 0.014371969703227131, 0.15052160338319473, 0.008788376875996295, 0.4335957181441988, 0.25025811727196884, 1.0, 0.16440500972967392, 0.4085648289600723, 0.5978365224665164, 0.40216347753348347, 1.7655233762067257, 0.47871426389348537, 2.268517966426156, 0.9852048349172658]"
scifact,443,answer_aware_fallback,0.395349,0.415584,689.0,3202.0,"[10.0, 10.0, 1.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.478193, 0.3244744, 0.07983755728878483, 0.243384, 0.05189954683569188, 0.19069287923495323, 0.07205668004341335, 0.05204593124533404, 0.33443818709182266, 0.19069287923495323, 2.0, 0.1473746465052405, 0.3987232891100192, 0.59781357173324, 0.40218642826676004, 1.5024900476643823, 0.46895043589114377, 2.2737581279006287, 0.9874806081299112]"
scifact,452,task_aware_coverage_ultra,0.285714,0.275000,1297.0,2454.0,"[10.0, 10.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.134393, 0.11538010000000001, 0.011422700210107942, 0.03919400000000001, 0.05297894979649249, 0.025269173245630324, 0.020231708496722293, 0.014718028468744707, 0.12281145595380714, 0.05556092951269773, 9.0, 0.11647849152496835, 0.334150343083426, 0.5413316507786005, 0.45866834922139954, 1.1400057681867535, 0.4033146570481706, 2.2976469855144983, 0.9978554071705873]"
scifact,475,task_aware_coverage_ultra,0.250000,0.262295,511.0,2893.0,"[10.0, 10.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.291796, 0.1823661, 0.05279178675599075, 0.163239, 0.08887373370436875, 0.2529232751648412, 0.0349593551659379, 0.013478594634607807, 0.40124607602571655, 0.2529232751648412, 2.0, 0.16000561507867964, 0.4111071081741618, 0.6066335793768689, 0.39336642062313115, 1.6701351923715329, 0.478620954701079, 2.263450136793793, 0.9830039044727047]"
scifact,478,adaptive_k_full,0.057143,0.119403,576.0,2973.0,"[26.0, 24.0, 0.9230769230769231, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.330446, 0.21898230000000002, 0.0555051240428305, 0.16809600000000002, 0.05445065154367139, 0.25175369046682355, 0.011215145591110157, 0.05478656119305426, 0.3721606555987968, 0.25175369046682355, 2.0, 0.1509007805653699, 0.39827922165398755, 0.5960226009134072, 0.4039773990865928, 1.592764150443203, 0.4689635184698265, 2.272515013520943, 0.9869407304144391]"
scifact,491,answer_aware_fallback,0.117647,0.133333,847.0,3946.0,"[14.0, 14.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.284899, 0.1694889, 0.0397642727670204, 0.14034000000000002, 0.3938378162085512, 0.004127778616281498, 0.028585568920915877, 0.036507674649612645, 0.4274848279565741, 0.3938378162085512, 1.0, 0.16809301376078314, 0.3711824196156798, 0.5638109634318236, 0.4361890365681765, 1.7466786014260403, 0.4476799542295667, 2.278839351190962, 0.9896873553662213]"
scifact,501,answer_aware_fallback,0.179487,0.181818,926.0,3455.0,"[7.0, 7.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.242755, 0.1742926, 0.03348437504628091, 0.11665800000000001, 0.12331774834709888, 0.10679079730592574, 0.02809828839776727, 0.029107536405017474, 0.27765030586393685, 0.12539803505592056, 8.0, 0.13928015303001964, 0.368615190776889, 0.5725412323873762, 0.4274587676126238, 1.3843710437172805, 0.43155305470341637, 2.284361101298347, 0.9920854209683073]"
scifact,502,adaptive_k_full,0.109589,0.133333,416.0,3021.0,"[16.0, 15.0, 0.9375, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.199707, 0.1314765, 0.02924715521978163, 0.103375, 0.19812525349637214, 0.07230592818479076, 0.029898801744555795, 0.010565478425893938, 0.3889948774955309, 0.19812525349637214, 1.0, 0.15189558590318422, 0.3845151034595536, 0.5836008716386579, 0.4163991283613422, 1.6366474897969217, 0.45515374303265366, 2.2792676627300277, 0.989873368704173]"
scifact,507,coverage_guided_ultra,0.213333,0.293333,604.0,2719.0,"[16.0, 16.0, 1.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.273855, 0.2004871, 0.03457809036210647, 0.09971400000000002, 0.04900768654945141, 0.20421025725292583, 0.04388818900513046, 0.014953168647641953, 0.32052363477022516, 0.20421025725292583, 2.0, 0.13659482330783376, 0.3685020133464946, 0.5573266309902233, 0.4426733690097767, 1.4717215361300102, 0.4461866630591609, 2.2886461277233847, 0.9939463842995108]"
scifact,508,answer_aware_fallback,0.200000,0.228571,562.0,2502.0,"[11.0, 11.0, 1.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.241647, 0.15694360000000002, 0.03369205940039878, 0.11521600000000001, 0.18195963533584117, 0.19592215090607373, 0.008599320496426591, 0.004514850174014082, 0.39639639639639646, 0.19592215090607373, 2.0, 0.15397059835507787, 0.37571267640094913, 0.5631137555147199, 0.43688624448528, 1.6567164179104479, 0.44861066625482054, 2.2815956833850937, 0.990884415228425]"
