dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
BioASQ,TACER,task_aware_coverage_ultra,0.581004,0.91,0.313699,0.464341,0.740165,95.5%,98.3%,656.3,80.8%,0.0%
HotpotQA,No Retrieval,no_retrieval_full,0.0,0.0,0.309072,0.306123,0.470348,48.0%,63.0%,147.91,91.4%,0.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.596062,0.7675,0.53189,0.531027,0.644139,82.5%,86.3%,556.92,67.7%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.64131,0.77975,0.555306,0.554611,0.663382,86.2%,88.8%,863.4,49.9%,0.0%
HotpotQA,Fixed Top-7,fixed_7_full,0.679501,0.786179,0.600881,0.605397,0.709987,93.2%,95.1%,1192.27,30.8%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.717349,0.790206,0.644556,0.65073,0.746732,100.0%,100.0%,1721.8,0.0%,0.0%
HotpotQA,Heuristic Rules,heuristic_rules_full,0.665239,0.782798,0.57514,0.579539,0.691306,89.2%,92.6%,1079.75,37.3%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.539579,0.749847,0.489965,0.492777,0.605493,76.0%,81.1%,510.24,70.4%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.716507,0.790206,0.627005,0.630123,0.730021,97.3%,97.8%,1164.89,32.3%,0.0%
HotpotQA,Coverage-Guided Ultra,coverage_guided_ultra,0.630262,0.780417,0.463644,0.466944,0.583081,71.9%,78.1%,452.37,73.7%,0.5%
HotpotQA,TACER,task_aware_coverage_ultra,0.715832,0.790873,0.627005,0.630123,0.724261,97.3%,97.0%,1160.92,32.6%,0.0%
MSMARCO,No Retrieval,no_retrieval_full,0.0,0.0,0.101411,0.136235,0.282955,51.8%,59.8%,110.88,92.1%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.385599,0.36,0.196697,0.580155,0.468497,100.6%,99.0%,528.35,62.2%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.474519,0.40325,0.197695,0.624256,0.472222,101.1%,99.8%,785.55,43.8%,0.0%
MSMARCO,Fixed Top-7,fixed_7_full,0.535107,0.428607,0.198178,0.621408,0.474793,101.3%,100.3%,1035.16,26.0%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.552481,0.434579,0.195618,0.614194,0.473325,100.0%,100.0%,1397.97,0.0%,0.0%
MSMARCO,Heuristic Rules,heuristic_rules_full,0.487252,0.40894,0.2006,0.616731,0.475987,102.5%,100.6%,813.03,41.8%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.431013,0.37028,0.199485,0.549167,0.466066,102.0%,98.5%,718.35,48.6%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.515606,0.420329,0.195315,0.621966,0.468943,99.8%,99.1%,859.26,38.5%,1.0%
MSMARCO,Coverage-Guided Ultra,coverage_guided_ultra,0.431013,0.37028,0.193461,0.533332,0.451645,98.9%,95.4%,642.04,54.1%,0.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.431013,0.37028,0.194744,0.52266,0.455981,99.6%,96.3%,642.36,54.1%,0.0%
ASQA,No Retrieval,no_retrieval_full,0.0,0.0,0.21697,0.167465,0.401594,51.5%,51.5%,113.11,90.5%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.700285,0.939167,0.397638,0.378596,0.755844,94.3%,96.9%,422.56,64.6%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.784446,0.941417,0.415788,0.413732,0.770819,98.6%,98.8%,645.67,45.9%,0.0%
ASQA,Fixed Top-7,fixed_7_full,0.814437,0.943083,0.411959,0.416574,0.775161,97.7%,99.4%,860.07,28.0%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.832459,0.943708,0.421549,0.419307,0.779894,100.0%,100.0%,1194.48,0.0%,0.0%
ASQA,Heuristic Rules,heuristic_rules_full,0.772155,0.94225,0.410594,0.401821,0.771334,97.4%,98.9%,669.04,44.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.614887,0.93625,0.368112,0.33681,0.730196,87.3%,93.6%,347.94,70.9%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.703077,0.939167,0.401558,0.37973,0.764826,95.3%,98.1%,497.99,58.3%,9.0%
ASQA,Coverage-Guided Ultra,coverage_guided_ultra,0.649432,0.941833,0.382296,0.354035,0.741209,90.7%,95.0%,407.31,65.9%,0.0%
ASQA,TACER,task_aware_coverage_ultra,0.706057,0.939167,0.403627,0.38164,0.763817,95.7%,97.9%,484.4,59.4%,7.0%
