annotation_id,comparison_id,dataset,query_id,blind_system,hidden_method,answer_f1,answer_coverage,semantic_similarity,total_tokens,rating,notes
asqa_13_systemd,asqa_13,asqa,asqa_73,System D,Safe Adaptive Context,0.785714,0.636364,0.909177,325,CORRECT,
asqa_14_systema,asqa_14,asqa,asqa_111,System A,Fixed Top-10,0.421053,0.423077,0.848471,1081,CORRECT,
asqa_14_systemb,asqa_14,asqa,asqa_111,System B,TACER,0.463158,0.615385,0.919991,376,CORRECT,
asqa_14_systemc,asqa_14,asqa,asqa_111,System C,Safe Adaptive Context,0.531915,0.653846,0.956865,374,CORRECT,
asqa_14_systemd,asqa_14,asqa,asqa_111,System D,Adaptive-k,0.421053,0.423077,0.848471,645,PARTIALLY_CORRECT,
asqa_15_systema,asqa_15,asqa,asqa_64,System A,Adaptive-k,0.595745,0.65,0.879472,517,PARTIALLY_CORRECT,
asqa_15_systemb,asqa_15,asqa,asqa_64,System B,TACER,0.636364,0.65,0.862764,281,PARTIALLY_CORRECT,
asqa_15_systemc,asqa_15,asqa,asqa_64,System C,Safe Adaptive Context,0.455696,0.75,0.837891,325,PARTIALLY_CORRECT,
asqa_15_systemd,asqa_15,asqa,asqa_64,System D,Fixed Top-10,0.652174,0.7,0.873132,1087,PARTIALLY_CORRECT,
hotpotqa_01_systema,hotpotqa_01,hotpotqa,5ae738f75542991bbc9761c4,System A,Adaptive-k,0.0,0.0,0.696763,1264,INCORRECT,
hotpotqa_01_systemb,hotpotqa_01,hotpotqa,5ae738f75542991bbc9761c4,System B,Safe Adaptive Context,1.0,1.0,1.0,1133,CORRECT,
hotpotqa_01_systemc,hotpotqa_01,hotpotqa,5ae738f75542991bbc9761c4,System C,TACER,1.0,1.0,1.0,1133,CORRECT,
hotpotqa_01_systemd,hotpotqa_01,hotpotqa,5ae738f75542991bbc9761c4,System D,Fixed Top-10,1.0,1.0,1.0,2357,CORRECT,
hotpotqa_02_systema,hotpotqa_02,hotpotqa,5ae5736e5542990ba0bbb2b3,System A,Adaptive-k,0.0,0.0,0.017202,1239,NOT_ENOUGH_INFO,
hotpotqa_02_systemb,hotpotqa_02,hotpotqa,5ae5736e5542990ba0bbb2b3,System B,TACER,1.0,1.0,1.0,1154,CORRECT,
hotpotqa_02_systemc,hotpotqa_02,hotpotqa,5ae5736e5542990ba0bbb2b3,System C,Safe Adaptive Context,1.0,1.0,1.0,1154,CORRECT,
hotpotqa_02_systemd,hotpotqa_02,hotpotqa,5ae5736e5542990ba0bbb2b3,System D,Fixed Top-10,1.0,1.0,1.0,2017,CORRECT,
hotpotqa_03_systema,hotpotqa_03,hotpotqa,5a8979f4554299669944a52e,System A,Adaptive-k,0.0,0.0,0.077269,1027,NOT_ENOUGH_INFO,
hotpotqa_03_systemb,hotpotqa_03,hotpotqa,5a8979f4554299669944a52e,System B,TACER,1.0,1.0,1.0,1182,CORRECT,
hotpotqa_03_systemc,hotpotqa_03,hotpotqa,5a8979f4554299669944a52e,System C,Safe Adaptive Context,1.0,1.0,1.0,1182,CORRECT,
hotpotqa_03_systemd,hotpotqa_03,hotpotqa,5a8979f4554299669944a52e,System D,Fixed Top-10,1.0,1.0,1.0,1336,CORRECT,
hotpotqa_04_systema,hotpotqa_04,hotpotqa,5a80071f5542992bc0c4a684,System A,Safe Adaptive Context,1.0,1.0,1.0,1213,CORRECT,
hotpotqa_04_systemb,hotpotqa_04,hotpotqa,5a80071f5542992bc0c4a684,System B,TACER,1.0,1.0,1.0,1213,CORRECT,
hotpotqa_04_systemc,hotpotqa_04,hotpotqa,5a80071f5542992bc0c4a684,System C,Adaptive-k,0.0,0.0,0.0,1981,NOT_ENOUGH_INFO,
hotpotqa_04_systemd,hotpotqa_04,hotpotqa,5a80071f5542992bc0c4a684,System D,Fixed Top-10,0.0,0.0,0.0,1981,NOT_ENOUGH_INFO,
hotpotqa_05_systema,hotpotqa_05,hotpotqa,5a774e9c55429972597f14f3,System A,Safe Adaptive Context,1.0,1.0,1.0,1257,CORRECT,
hotpotqa_05_systemb,hotpotqa_05,hotpotqa,5a774e9c55429972597f14f3,System B,Adaptive-k,0.0,0.0,0.286875,1950,INCORRECT,
hotpotqa_05_systemc,hotpotqa_05,hotpotqa,5a774e9c55429972597f14f3,System C,TACER,1.0,1.0,1.0,1257,CORRECT,
hotpotqa_05_systemd,hotpotqa_05,hotpotqa,5a774e9c55429972597f14f3,System D,Fixed Top-10,0.0,0.0,0.286875,1950,INCORRECT,
hotpotqa_06_systema,hotpotqa_06,hotpotqa,5a7b12a355429927d897bf2a,System A,Adaptive-k,0.0,0.0,0.035982,1061,NOT_ENOUGH_INFO,
hotpotqa_06_systemb,hotpotqa_06,hotpotqa,5a7b12a355429927d897bf2a,System B,TACER,0.857143,0.75,0.986117,1239,CORRECT,
hotpotqa_06_systemc,hotpotqa_06,hotpotqa,5a7b12a355429927d897bf2a,System C,Safe Adaptive Context,0.857143,0.75,0.986117,1239,CORRECT,
hotpotqa_06_systemd,hotpotqa_06,hotpotqa,5a7b12a355429927d897bf2a,System D,Fixed Top-10,0.857143,0.75,0.986117,1632,CORRECT,
hotpotqa_07_systema,hotpotqa_07,hotpotqa,5a8704f8554299211dda2ba4,System A,Safe Adaptive Context,1.0,1.0,1.0,1165,CORRECT,
hotpotqa_07_systemb,hotpotqa_07,hotpotqa,5a8704f8554299211dda2ba4,System B,Fixed Top-10,0.4,0.25,0.691923,1912,INCORRECT,
hotpotqa_07_systemc,hotpotqa_07,hotpotqa,5a8704f8554299211dda2ba4,System C,TACER,1.0,1.0,1.0,1165,CORRECT,
hotpotqa_07_systemd,hotpotqa_07,hotpotqa,5a8704f8554299211dda2ba4,System D,Adaptive-k,0.4,0.25,0.691923,1912,INCORRECT,
hotpotqa_08_systema,hotpotqa_08,hotpotqa,5a8e1027554299653c1aa15f,System A,Fixed Top-10,0.857143,0.75,0.801323,1639,PARTIALLY_CORRECT,
hotpotqa_08_systemb,hotpotqa_08,hotpotqa,5a8e1027554299653c1aa15f,System B,Safe Adaptive Context,0.857143,0.75,0.801323,1230,PARTIALLY_CORRECT,
hotpotqa_08_systemc,hotpotqa_08,hotpotqa,5a8e1027554299653c1aa15f,System C,TACER,0.857143,0.75,0.801323,1230,PARTIALLY_CORRECT,
hotpotqa_08_systemd,hotpotqa_08,hotpotqa,5a8e1027554299653c1aa15f,System D,Adaptive-k,0.285714,0.25,0.704662,990,PARTIALLY_CORRECT,
hotpotqa_09_systema,hotpotqa_09,hotpotqa,5a8361b65542992ef85e22a0,System A,Fixed Top-10,1.0,1.0,1.0,2391,CORRECT,
hotpotqa_09_systemb,hotpotqa_09,hotpotqa,5a8361b65542992ef85e22a0,System B,TACER,1.0,1.0,1.0,1265,CORRECT,
hotpotqa_09_systemc,hotpotqa_09,hotpotqa,5a8361b65542992ef85e22a0,System C,Adaptive-k,0.5,0.4,0.716827,1373,PARTIALLY_CORRECT,
hotpotqa_09_systemd,hotpotqa_09,hotpotqa,5a8361b65542992ef85e22a0,System D,Safe Adaptive Context,1.0,1.0,1.0,1265,CORRECT,
hotpotqa_10_systema,hotpotqa_10,hotpotqa,5a85eed75542996432c5713b,System A,Fixed Top-10,0.4,0.5,0.492545,1794,PARTIALLY_CORRECT,
hotpotqa_10_systemb,hotpotqa_10,hotpotqa,5a85eed75542996432c5713b,System B,TACER,0.4,0.5,0.492545,1167,PARTIALLY_CORRECT,
hotpotqa_10_systemc,hotpotqa_10,hotpotqa,5a85eed75542996432c5713b,System C,Adaptive-k,0.0,0.0,0.304945,1196,INCORRECT,
hotpotqa_10_systemd,hotpotqa_10,hotpotqa,5a85eed75542996432c5713b,System D,Safe Adaptive Context,0.4,0.5,0.492545,1167,PARTIALLY_CORRECT,
hotpotqa_11_systema,hotpotqa_11,hotpotqa,5ab96ab755429970cfb8eacd,System A,Fixed Top-10,0.923077,0.857143,0.93907,1794,CORRECT,
hotpotqa_11_systemb,hotpotqa_11,hotpotqa,5ab96ab755429970cfb8eacd,System B,Safe Adaptive Context,0.4,0.285714,0.632438,1200,PARTIALLY_CORRECT,
hotpotqa_11_systemc,hotpotqa_11,hotpotqa,5ab96ab755429970cfb8eacd,System C,TACER,0.4,0.285714,0.632438,1200,PARTIALLY_CORRECT,
hotpotqa_11_systemd,hotpotqa_11,hotpotqa,5ab96ab755429970cfb8eacd,System D,Adaptive-k,0.0,0.0,0.035419,1145,NOT_ENOUGH_INFO,
hotpotqa_12_systema,hotpotqa_12,hotpotqa,5ab978855542996be2020512,System A,TACER,1.0,1.0,1.0,374,CORRECT,
hotpotqa_12_systemb,hotpotqa_12,hotpotqa,5ab978855542996be2020512,System B,Safe Adaptive Context,1.0,1.0,1.0,1172,CORRECT,
hotpotqa_12_systemc,hotpotqa_12,hotpotqa,5ab978855542996be2020512,System C,Adaptive-k,1.0,1.0,1.0,1603,CORRECT,
hotpotqa_12_systemd,hotpotqa_12,hotpotqa,5ab978855542996be2020512,System D,Fixed Top-10,1.0,1.0,1.0,1603,CORRECT,
hotpotqa_13_systema,hotpotqa_13,hotpotqa,5a7c960655429935c91b5244,System A,Adaptive-k,1.0,1.0,1.0,1979,CORRECT,
hotpotqa_13_systemb,hotpotqa_13,hotpotqa,5a7c960655429935c91b5244,System B,Fixed Top-10,1.0,1.0,1.0,1979,CORRECT,
hotpotqa_13_systemc,hotpotqa_13,hotpotqa,5a7c960655429935c91b5244,System C,Safe Adaptive Context,1.0,1.0,1.0,1098,CORRECT,
hotpotqa_13_systemd,hotpotqa_13,hotpotqa,5a7c960655429935c91b5244,System D,TACER,1.0,1.0,1.0,1098,CORRECT,
hotpotqa_14_systema,hotpotqa_14,hotpotqa,5a738d27554299623ed4abf3,System A,Fixed Top-10,1.0,1.0,1.0,1951,CORRECT,
hotpotqa_14_systemb,hotpotqa_14,hotpotqa,5a738d27554299623ed4abf3,System B,Adaptive-k,1.0,1.0,1.0,1951,CORRECT,
hotpotqa_14_systemc,hotpotqa_14,hotpotqa,5a738d27554299623ed4abf3,System C,Safe Adaptive Context,1.0,1.0,1.0,1187,CORRECT,
hotpotqa_14_systemd,hotpotqa_14,hotpotqa,5a738d27554299623ed4abf3,System D,TACER,1.0,1.0,1.0,1187,CORRECT,
hotpotqa_15_systema,hotpotqa_15,hotpotqa,5ae37c765542992f92d822d4,System A,Adaptive-k,1.0,1.0,1.0,1990,CORRECT,
hotpotqa_15_systemb,hotpotqa_15,hotpotqa,5ae37c765542992f92d822d4,System B,TACER,1.0,1.0,1.0,1265,CORRECT,
hotpotqa_15_systemc,hotpotqa_15,hotpotqa,5ae37c765542992f92d822d4,System C,Fixed Top-10,1.0,1.0,1.0,1990,CORRECT,
hotpotqa_15_systemd,hotpotqa_15,hotpotqa,5ae37c765542992f92d822d4,System D,Safe Adaptive Context,1.0,1.0,1.0,1265,CORRECT,
