retriever,query_id,ranked_doc_ids,scores,ndcg_at_10,mrr_at_10,recall_at_10
tfidf,268,"[""1568684"", ""970012"", ""34582256"", ""13000926"", ""29381091"", ""36838958"", ""4340358"", ""519974"", ""34121231"", ""25817686""]","[0.359974, 0.327899, 0.255102, 0.229995, 0.217058, 0.215742, 0.205767, 0.201012, 0.196038, 0.182088]",0.63093,0.5,1.0
tfidf,269,"[""1568684"", ""970012"", ""34582256"", ""13000926"", ""36838958"", ""29381091"", ""4340358"", ""519974"", ""34121231"", ""4319174""]","[0.338613, 0.321367, 0.250021, 0.225413, 0.223101, 0.212735, 0.201668, 0.197008, 0.192133, 0.169087]",0.63093,0.5,1.0
tfidf,274,"[""11614737"", ""5114940"", ""24019260"", ""34369306"", ""32408470"", ""5551138"", ""32827351"", ""308862"", ""1759213"", ""13619127""]","[0.571189, 0.405141, 0.378035, 0.19255, 0.124185, 0.102133, 0.100328, 0.095763, 0.083155, 0.083054]",1.0,1.0,1.0
tfidf,275,"[""4961038"", ""17462437"", ""85665741"", ""4320424"", ""36310858"", ""3210545"", ""24190159"", ""4920376"", ""41650417"", ""11200685""]","[0.275544, 0.275067, 0.264315, 0.228728, 0.218022, 0.208365, 0.203691, 0.198473, 0.16622, 0.157355]",0.469279,1.0,0.333333
tfidf,279,"[""14376683"", ""83667891"", ""37677954"", ""46193478"", ""14185503"", ""25799020"", ""7211056"", ""37249641"", ""7451018"", ""6903077""]","[0.296032, 0.188703, 0.163201, 0.127566, 0.095987, 0.075695, 0.073716, 0.072074, 0.071249, 0.068876]",1.0,1.0,1.0
tfidf,294,"[""13949015"", ""10086360"", ""32638085"", ""25799020"", ""9704467"", ""21170174"", ""10874408"", ""13613916"", ""16237005"", ""4414481""]","[0.144244, 0.142948, 0.134719, 0.133524, 0.121138, 0.112135, 0.108683, 0.105808, 0.102672, 0.094177]",0.333333,0.142857,1.0
tfidf,295,"[""24044977"", ""20310709"", ""1022115"", ""11020556"", ""22791348"", ""21719289"", ""12631182"", ""188911"", ""46594244"", ""41120293""]","[0.456547, 0.426511, 0.332253, 0.271664, 0.247836, 0.246638, 0.208842, 0.203813, 0.194918, 0.194593]",0.63093,0.5,1.0
tfidf,298,"[""23887844"", ""23403754"", ""39381118"", ""13931771"", ""24863571"", ""9588931"", ""797114"", ""40232172"", ""15836115"", ""21246752""]","[0.263568, 0.248428, 0.225355, 0.188456, 0.183872, 0.180264, 0.17728, 0.175454, 0.163084, 0.159202]",0.5,0.333333,1.0
tfidf,300,"[""16120395"", ""15551129"", ""4421742"", ""6828370"", ""3553087"", ""25937484"", ""27889071"", ""3321943"", ""13338820"", ""2062382""]","[0.493732, 0.408104, 0.298544, 0.222103, 0.214939, 0.173587, 0.17252, 0.154007, 0.153933, 0.147926]",0.386853,0.2,1.0
tfidf,303,"[""4085204"", ""4388470"", ""36708463"", ""12232678"", ""16963081"", ""40971746"", ""16267205"", ""26378103"", ""28390999"", ""13639330""]","[0.44821, 0.155591, 0.115378, 0.111215, 0.101576, 0.100703, 0.094801, 0.091393, 0.086961, 0.086209]",0.63093,0.5,1.0
tfidf,312,"[""15966318"", ""14464451"", ""21387297"", ""32770503"", ""7059897"", ""2754534"", ""39729277"", ""14185503"", ""15960670"", ""30655442""]","[0.192228, 0.184629, 0.161514, 0.154652, 0.141839, 0.141032, 0.131327, 0.127995, 0.122559, 0.122329]",0.0,0.0,0.0
tfidf,314,"[""544971"", ""2638387"", ""32556431"", ""4231060"", ""15472716"", ""6820680"", ""24896957"", ""41314611"", ""6404801"", ""25813706""]","[0.270426, 0.248244, 0.225943, 0.184141, 0.175502, 0.161824, 0.156594, 0.156458, 0.156112, 0.149202]",0.0,0.0,0.0
tfidf,324,"[""23816832"", ""4658268"", ""24612804"", ""654735"", ""2014909"", ""5260382"", ""36345185"", ""6386930"", ""24721866"", ""45449835""]","[0.223356, 0.173038, 0.163858, 0.131113, 0.13014, 0.128826, 0.120184, 0.118314, 0.105226, 0.100875]",0.386853,0.2,1.0
tfidf,327,"[""17997584"", ""1782201"", ""59453688"", ""10342807"", ""22972632"", ""40323148"", ""15405204"", ""71341302"", ""22867765"", ""4391121""]","[0.239846, 0.158911, 0.150863, 0.146479, 0.139218, 0.136478, 0.136263, 0.133356, 0.131523, 0.130124]",1.0,1.0,1.0
tfidf,338,"[""23349986"", ""24211561"", ""14973286"", ""32001951"", ""6083952"", ""11968641"", ""36288526"", ""20130904"", ""23783727"", ""18872233""]","[0.484631, 0.275521, 0.181751, 0.174577, 0.144925, 0.139323, 0.136866, 0.13373, 0.126693, 0.125441]",1.0,1.0,1.0
tfidf,343,"[""308862"", ""19945096"", ""5884524"", ""19308127"", ""32390525"", ""6517763"", ""23783727"", ""7873737"", ""38630735"", ""13179318""]","[0.280537, 0.266247, 0.245026, 0.229777, 0.210474, 0.207718, 0.202932, 0.192237, 0.187484, 0.185297]",0.5,0.333333,1.0
tfidf,350,"[""16927286"", ""16242975"", ""23342686"", ""39729277"", ""24863571"", ""13072112"", ""34498325"", ""2479538"", ""8698857"", ""2099400""]","[0.293449, 0.285809, 0.27855, 0.194709, 0.189455, 0.189363, 0.149348, 0.143514, 0.133763, 0.131405]",1.0,1.0,1.0
tfidf,354,"[""8774475"", ""18953920"", ""34103335"", ""17917408"", ""45638119"", ""29073751"", ""17223891"", ""1241113"", ""799586"", ""9226649""]","[0.51639, 0.14895, 0.141288, 0.121793, 0.104421, 0.101043, 0.096846, 0.094374, 0.090514, 0.089702]",1.0,1.0,1.0
tfidf,362,"[""38587347"", ""38528892"", ""43619625"", ""8629328"", ""27647593"", ""23305884"", ""26735905"", ""15488881"", ""37182501"", ""12324049""]","[0.239094, 0.204721, 0.166257, 0.163895, 0.163293, 0.157692, 0.155469, 0.142651, 0.142603, 0.135433]",1.0,1.0,1.0
tfidf,380,"[""2248870"", ""19005293"", ""7639744"", ""32556431"", ""46617075"", ""17021845"", ""32450297"", ""23509113"", ""12145359"", ""1574014""]","[0.214372, 0.205929, 0.202335, 0.183091, 0.181383, 0.17583, 0.168362, 0.158939, 0.156964, 0.154818]",0.63093,0.5,1.0
tfidf,384,"[""51972698"", ""14319754"", ""40666943"", ""21914176"", ""18074797"", ""581832"", ""41310252"", ""456304"", ""3462075"", ""8708082""]","[0.410942, 0.167167, 0.134122, 0.123678, 0.122277, 0.115719, 0.107071, 0.105737, 0.105732, 0.105643]",0.0,0.0,0.0
tfidf,385,"[""1032372"", ""29190724"", ""9767444"", ""5991309"", ""15541119"", ""32742683"", ""22551259"", ""52188256"", ""27270151"", ""2506153""]","[0.296814, 0.169278, 0.163241, 0.160789, 0.155814, 0.155802, 0.153943, 0.150753, 0.143559, 0.138416]",0.306574,0.333333,0.5
tfidf,386,"[""16495649"", ""21260231"", ""27550580"", ""22371455"", ""19052713"", ""42404093"", ""1695604"", ""13245542"", ""12039953"", ""70516463""]","[0.336896, 0.187569, 0.153401, 0.153296, 0.12899, 0.125481, 0.118772, 0.109066, 0.106279, 0.105616]",1.0,1.0,1.0
tfidf,388,"[""1148122"", ""24019260"", ""28025754"", ""1887056"", ""21602220"", ""16712164"", ""5107861"", ""26702468"", ""2251426"", ""41165286""]","[0.404851, 0.371903, 0.231586, 0.204591, 0.203887, 0.201229, 0.18521, 0.180531, 0.159805, 0.148079]",1.0,1.0,1.0
tfidf,399,"[""791050"", ""471921"", ""32357890"", ""42387637"", ""6333347"", ""21003930"", ""13770184"", ""25440070"", ""2158500"", ""44830890""]","[0.450717, 0.346789, 0.256206, 0.233673, 0.182728, 0.16205, 0.128475, 0.116476, 0.104913, 0.101073]",1.0,1.0,1.0
tfidf,410,"[""14924526"", ""29723642"", ""15889329"", ""599582"", ""13757347"", ""810480"", ""116792"", ""23670644"", ""42373943"", ""25416944""]","[0.632445, 0.293093, 0.284484, 0.244945, 0.222973, 0.216353, 0.205472, 0.205013, 0.181051, 0.175121]",1.0,1.0,1.0
tfidf,411,"[""14924526"", ""29723642"", ""15889329"", ""599582"", ""13757347"", ""810480"", ""23670644"", ""116792"", ""25416944"", ""42373943""]","[0.610323, 0.28758, 0.279133, 0.240338, 0.21878, 0.212284, 0.201157, 0.18973, 0.171828, 0.170128]",1.0,1.0,1.0
tfidf,415,"[""4709641"", ""18852643"", ""20937018"", ""14682243"", ""6309659"", ""1967017"", ""13282296"", ""12443371"", ""24906548"", ""45457778""]","[0.473495, 0.263729, 0.251018, 0.234894, 0.233347, 0.19449, 0.18851, 0.186233, 0.176253, 0.175703]",0.386853,0.2,1.0
tfidf,421,"[""17631671"", ""198309074"", ""32927475"", ""6421734"", ""41165286"", ""4270992"", ""19651306"", ""15716328"", ""25726838"", ""27545868""]","[0.177898, 0.136934, 0.122309, 0.119665, 0.114272, 0.111335, 0.106805, 0.106049, 0.101389, 0.098715]",0.0,0.0,0.0
tfidf,431,"[""19922508"", ""22696649"", ""2543135"", ""24746892"", ""10993232"", ""24923605"", ""26297042"", ""25251625"", ""5765455"", ""1941721""]","[0.333965, 0.298551, 0.290267, 0.278497, 0.274089, 0.236031, 0.235385, 0.207502, 0.207451, 0.202969]",0.0,0.0,0.0
tfidf,436,"[""14637235"", ""406733"", ""8331432"", ""18037805"", ""37641175"", ""20279166"", ""27587267"", ""38131471"", ""4283694"", ""15472716""]","[0.321176, 0.157776, 0.119585, 0.112045, 0.104343, 0.104318, 0.101211, 0.099567, 0.099473, 0.099018]",1.0,1.0,1.0
tfidf,437,"[""24466904"", ""5782614"", ""5765455"", ""39851630"", ""2359152"", ""20288322"", ""3391547"", ""8385277"", ""3863543"", ""6000423""]","[0.237099, 0.226091, 0.221082, 0.220941, 0.218463, 0.160687, 0.157966, 0.146316, 0.145111, 0.138493]",0.0,0.0,0.0
tfidf,439,"[""18575183"", ""4423559"", ""6729465"", ""30152134"", ""4932668"", ""5944514"", ""15472716"", ""20758340"", ""17685207"", ""5395426""]","[0.243558, 0.182605, 0.179106, 0.142444, 0.137953, 0.135812, 0.116309, 0.109433, 0.107655, 0.107029]",0.63093,0.5,1.0
tfidf,440,"[""18575183"", ""4423559"", ""6729465"", ""30152134"", ""4932668"", ""5944514"", ""39763465"", ""15472716"", ""20758340"", ""17685207""]","[0.242138, 0.181541, 0.178061, 0.141614, 0.137148, 0.13502, 0.125839, 0.115631, 0.108795, 0.107027]",0.63093,0.5,1.0
tfidf,443,"[""10165258"", ""12462961"", ""18374364"", ""12130067"", ""13116880"", ""16728949"", ""2853291"", ""34982259"", ""13980338"", ""11900630""]","[0.478193, 0.453375, 0.362187, 0.32773, 0.318267, 0.293379, 0.267269, 0.258431, 0.251104, 0.234809]",1.0,1.0,1.0
tfidf,452,"[""4632921"", ""16237005"", ""8290760"", ""464511"", ""41133176"", ""9154703"", ""23830488"", ""12804937"", ""17702490"", ""8502193""]","[0.134393, 0.127273, 0.123877, 0.121158, 0.117888, 0.11591, 0.109017, 0.10642, 0.102666, 0.095199]",0.457495,0.25,1.0
tfidf,475,"[""23576165"", ""195689757"", ""8477699"", ""23148978"", ""8724666"", ""1917068"", ""4423401"", ""7454794"", ""27647593"", ""6061927""]","[0.291796, 0.265863, 0.192061, 0.18186, 0.174714, 0.170781, 0.147618, 0.141724, 0.128687, 0.128557]",0.0,0.0,0.0
tfidf,478,"[""34854444"", ""14767844"", ""10562341"", ""37964706"", ""3788528"", ""7869794"", ""19238"", ""5094468"", ""1605392"", ""23460562""]","[0.330446, 0.312453, 0.229262, 0.225556, 0.207467, 0.189363, 0.184372, 0.180844, 0.16771, 0.16235]",0.63093,0.5,1.0
tfidf,491,"[""56893404"", ""8892905"", ""2138843"", ""663464"", ""17656445"", ""24704139"", ""7808055"", ""43311750"", ""13938878"", ""198133135""]","[0.284899, 0.172695, 0.171519, 0.163375, 0.163109, 0.152708, 0.151448, 0.145521, 0.145056, 0.144559]",1.0,1.0,1.0
tfidf,501,"[""21274919"", ""24285403"", ""14606752"", ""24865781"", ""6191684"", ""37156349"", ""7239105"", ""50670403"", ""15678772"", ""26016929""]","[0.242755, 0.212819, 0.186895, 0.180074, 0.175354, 0.168288, 0.164019, 0.158533, 0.128092, 0.126097]",0.0,0.0,0.0
tfidf,502,"[""43990286"", ""4435369"", ""24318630"", ""10854174"", ""143796742"", ""70516463"", ""20888849"", ""2565138"", ""24315156"", ""11748341""]","[0.199707, 0.16014, 0.1457, 0.139729, 0.122022, 0.119912, 0.113447, 0.11006, 0.107716, 0.096332]",0.0,0.0,0.0
tfidf,507,"[""30774694"", ""35079452"", ""7230315"", ""7433668"", ""883747"", ""1386103"", ""36242796"", ""33835579"", ""18321590"", ""22908536""]","[0.273855, 0.260434, 0.20451, 0.192491, 0.186078, 0.181983, 0.180599, 0.175857, 0.174923, 0.174141]",1.0,1.0,1.0
tfidf,508,"[""25516011"", ""34982259"", ""42787108"", ""16728949"", ""3391547"", ""24541180"", ""10526279"", ""5107861"", ""502797"", ""1944452""]","[0.241647, 0.197677, 0.150333, 0.148255, 0.145859, 0.144768, 0.143345, 0.142523, 0.128598, 0.126431]",0.0,0.0,0.0
tfidf,513,"[""13230773"", ""12770738"", ""2575938"", ""2424794"", ""21009874"", ""15830352"", ""7662395"", ""19961177"", ""25293616"", ""4463588""]","[0.303791, 0.283616, 0.167605, 0.166291, 0.162327, 0.157884, 0.153474, 0.150316, 0.146077, 0.140261]",1.0,1.0,1.0
tfidf,514,"[""22023404"", ""4462079"", ""3150030"", ""36960449"", ""30720103"", ""520579"", ""3222187"", ""25599283"", ""3034412"", ""38551172""]","[0.381639, 0.35954, 0.353069, 0.327567, 0.315403, 0.266851, 0.251018, 0.238706, 0.225883, 0.224259]",0.0,0.0,0.0
tfidf,516,"[""29564505"", ""18988265"", ""20109325"", ""3580005"", ""21395936"", ""21048969"", ""21495419"", ""7285256"", ""21287352"", ""26107000""]","[0.498145, 0.471, 0.467434, 0.336087, 0.310214, 0.309434, 0.307017, 0.30598, 0.288814, 0.288775]",1.0,1.0,1.0
tfidf,517,"[""19658917"", ""17656445"", ""4886637"", ""2138843"", ""41264017"", ""17324544"", ""6176498"", ""27166444"", ""27449472"", ""198133135""]","[0.35172, 0.226692, 0.210867, 0.207083, 0.202381, 0.196975, 0.195571, 0.177011, 0.169531, 0.166315]",0.0,0.0,0.0
tfidf,521,"[""34873974"", ""29526125"", ""34054472"", ""3056682"", ""27910499"", ""25028913"", ""18834078"", ""10128893"", ""23460562"", ""6961811""]","[0.283484, 0.280959, 0.233767, 0.22803, 0.212556, 0.198616, 0.178119, 0.175761, 0.171334, 0.159184]",1.0,1.0,1.0
tfidf,525,"[""13639330"", ""29877890"", ""20630805"", ""40667066"", ""8411251"", ""3230361"", ""20781656"", ""32638085"", ""9881829"", ""5860364""]","[0.373085, 0.293792, 0.289434, 0.250138, 0.243297, 0.238506, 0.214471, 0.213292, 0.209501, 0.201969]",1.0,1.0,1.0
tfidf,527,"[""1617327"", ""3863543"", ""43385013"", ""32922179"", ""27665523"", ""5107861"", ""24766509"", ""24349992"", ""20524091"", ""16712164""]","[0.236623, 0.2083, 0.149106, 0.142186, 0.136795, 0.125247, 0.124587, 0.114589, 0.113704, 0.111273]",0.63093,0.5,1.0
tfidf,528,"[""5476778"", ""23326722"", ""44420873"", ""22937651"", ""24512064"", ""10675756"", ""20754359"", ""2947124"", ""35612665"", ""23915841""]","[0.392642, 0.213709, 0.125034, 0.116461, 0.113632, 0.105313, 0.101449, 0.098287, 0.094728, 0.093282]",1.0,1.0,1.0
tfidf,532,"[""1387104"", ""12991445"", ""5238341"", ""34338075"", ""79231308"", ""19332616"", ""14973286"", ""19482914"", ""20128547"", ""27054878""]","[0.200312, 0.174213, 0.171504, 0.13573, 0.128091, 0.117228, 0.10703, 0.101721, 0.095375, 0.09402]",0.63093,0.5,1.0
tfidf,533,"[""1387104"", ""12991445"", ""5238341"", ""34338075"", ""79231308"", ""19332616"", ""14973286"", ""19482914"", ""20128547"", ""27054878""]","[0.206073, 0.179223, 0.176436, 0.139634, 0.131775, 0.120599, 0.110108, 0.104646, 0.098118, 0.096724]",0.63093,0.5,1.0
tfidf,535,"[""44660616"", ""2138843"", ""30805636"", ""46328296"", ""32534305"", ""43483151"", ""25571386"", ""3801693"", ""6176498"", ""13282296""]","[0.329092, 0.287493, 0.276165, 0.261348, 0.25189, 0.250352, 0.24601, 0.243767, 0.240103, 0.238301]",0.0,0.0,0.0
tfidf,536,"[""17097974"", ""9194077"", ""43566999"", ""23746332"", ""9288638"", ""12903921"", ""24186125"", ""22178316"", ""7840442"", ""30915421""]","[0.174351, 0.157491, 0.154686, 0.134526, 0.132827, 0.132232, 0.12526, 0.124593, 0.124307, 0.117246]",0.0,0.0,0.0
tfidf,539,"[""13282296"", ""11953232"", ""21472388"", ""14682243"", ""6309659"", ""20697217"", ""45457778"", ""21274919"", ""11886686"", ""17691617""]","[0.487523, 0.442284, 0.380208, 0.361291, 0.342902, 0.3049, 0.280031, 0.267832, 0.244468, 0.218663]",1.0,1.0,1.0
tfidf,540,"[""17150648"", ""2039912"", ""306311"", ""3085264"", ""11886686"", ""9796495"", ""14782049"", ""15657779"", ""2225918"", ""6565037""]","[0.275602, 0.264878, 0.24233, 0.226252, 0.193437, 0.190209, 0.181612, 0.177972, 0.173127, 0.16901]",0.237198,0.2,0.5
tfidf,544,"[""32556431"", ""6404801"", ""26873988"", ""4231060"", ""44737533"", ""6820680"", ""5838067"", ""2638387"", ""8247469"", ""16572581""]","[0.268694, 0.214749, 0.194669, 0.178416, 0.176674, 0.174635, 0.16112, 0.15279, 0.150359, 0.142429]",0.0,0.0,0.0
tfidf,549,"[""9433958"", ""9539248"", ""21909315"", ""3107733"", ""92308"", ""6820680"", ""25124117"", ""30437264"", ""10494012"", ""20960682""]","[0.261038, 0.147755, 0.125059, 0.119949, 0.097097, 0.095261, 0.085407, 0.074904, 0.071259, 0.064573]",1.0,1.0,1.0
tfidf,551,"[""8903143"", ""25479072"", ""6961811"", ""5914739"", ""20457190"", ""8305686"", ""36271512"", ""34905328"", ""9283422"", ""994800""]","[0.509088, 0.340395, 0.334686, 0.329534, 0.318007, 0.31452, 0.299154, 0.280197, 0.276342, 0.27348]",0.0,0.0,0.0
tfidf,552,"[""10669582"", ""10675756"", ""1471041"", ""27772649"", ""3828508"", ""44420873"", ""21060008"", ""26735018"", ""13578199"", ""14340571""]","[0.234592, 0.229971, 0.220494, 0.199284, 0.193011, 0.185518, 0.1846, 0.177123, 0.174871, 0.148206]",0.5,0.333333,1.0
tfidf,554,"[""52925737"", ""364522"", ""21372171"", ""9878167"", ""14853989"", ""29399239"", ""14692646"", ""25251625"", ""9225850"", ""43054703""]","[0.299681, 0.290073, 0.285887, 0.228202, 0.216211, 0.208084, 0.197448, 0.185454, 0.158183, 0.157987]",0.0,0.0,0.0
tfidf,560,"[""29347970"", ""40323148"", ""11233339"", ""29509926"", ""13398997"", ""18546584"", ""7735859"", ""2844490"", ""25315295"", ""3475317""]","[0.344881, 0.290683, 0.278418, 0.277829, 0.255775, 0.250056, 0.249615, 0.247589, 0.245953, 0.229948]",0.0,0.0,0.0
tfidf,569,"[""21320417"", ""23460562"", ""3155731"", ""18834078"", ""13636631"", ""24879055"", ""6961811"", ""37311371"", ""3835423"", ""991137""]","[0.534163, 0.532273, 0.491044, 0.486486, 0.424982, 0.41543, 0.402914, 0.402672, 0.399371, 0.388443]",0.63093,0.5,1.0
tfidf,575,"[""9548440"", ""39758684"", ""16686383"", ""13613916"", ""9704467"", ""25571386"", ""1941721"", ""4414481"", ""2867345"", ""8747771""]","[0.135959, 0.135798, 0.123402, 0.110762, 0.10569, 0.100128, 0.098811, 0.096759, 0.093934, 0.092215]",0.0,0.0,0.0
tfidf,577,"[""42065070"", ""21392703"", ""8133050"", ""45449835"", ""23777820"", ""85693958"", ""21878751"", ""26474812"", ""10559501"", ""24705390""]","[0.160408, 0.133645, 0.122902, 0.117395, 0.109828, 0.103444, 0.101929, 0.097654, 0.093292, 0.090327]",0.0,0.0,0.0
tfidf,578,"[""8764879"", ""3559136"", ""7239105"", ""18027063"", ""14174055"", ""12315072"", ""40949706"", ""39776978"", ""3981613"", ""13899137""]","[0.615148, 0.220313, 0.114086, 0.110772, 0.109338, 0.1042, 0.086948, 0.077073, 0.076, 0.075832]",1.0,1.0,1.0
tfidf,587,"[""16999023"", ""2296264"", ""21230110"", ""25028913"", ""19205326"", ""22705234"", ""25157790"", ""40558887"", ""5085118"", ""7142113""]","[0.259639, 0.259114, 0.157137, 0.152836, 0.150181, 0.145374, 0.143551, 0.137502, 0.137384, 0.136952]",1.0,1.0,1.0
tfidf,589,"[""10984005"", ""1831916"", ""24625323"", ""40996863"", ""1068106"", ""5556809"", ""5698494"", ""11939159"", ""28419824"", ""16233471""]","[0.503042, 0.312923, 0.309412, 0.21885, 0.216849, 0.196203, 0.194355, 0.186169, 0.184042, 0.180187]",1.0,1.0,1.0
tfidf,593,"[""19675911"", ""20945963"", ""19185192"", ""31889025"", ""8509018"", ""37029185"", ""9056874"", ""36355784"", ""6270720"", ""7209559""]","[0.457312, 0.339731, 0.263738, 0.23565, 0.235604, 0.193339, 0.187942, 0.177992, 0.174449, 0.160112]",1.0,1.0,1.0
tfidf,597,"[""36355784"", ""46695481"", ""52188256"", ""24205118"", ""12779444"", ""23136735"", ""756887"", ""27446873"", ""829646"", ""25742130""]","[0.343455, 0.316605, 0.309972, 0.300334, 0.294183, 0.286288, 0.272556, 0.26667, 0.260932, 0.227027]",0.786472,1.0,1.0
tfidf,598,"[""27446873"", ""6561200"", ""36355784"", ""46695481"", ""756887"", ""12779444"", ""24205118"", ""27873158"", ""52188256"", ""28617573""]","[0.388707, 0.316658, 0.298896, 0.298609, 0.292503, 0.28745, 0.27387, 0.249106, 0.247875, 0.243175]",0.0,0.0,0.0
tfidf,613,"[""9638032"", ""16090672"", ""15953181"", ""6669242"", ""34498093"", ""2831620"", ""27134527"", ""8646760"", ""1371440"", ""11200685""]","[0.525554, 0.148069, 0.122992, 0.1212, 0.11422, 0.109595, 0.109235, 0.106444, 0.104612, 0.100183]",1.0,1.0,1.0
tfidf,619,"[""49556906"", ""21258863"", ""3619931"", ""22621251"", ""34733465"", ""44264297"", ""6421792"", ""2973910"", ""14831629"", ""6673421""]","[0.212955, 0.196191, 0.194634, 0.181215, 0.17368, 0.168376, 0.167259, 0.16435, 0.158512, 0.153893]",0.0,0.0,0.0
tfidf,623,"[""4462079"", ""22843838"", ""23267371"", ""36960449"", ""21553394"", ""12074066"", ""30720103"", ""16256507"", ""25599283"", ""17000834""]","[0.450965, 0.448994, 0.422002, 0.419112, 0.402286, 0.394327, 0.390732, 0.381714, 0.339251, 0.337484]",0.289065,0.1,1.0
tfidf,628,"[""22705234"", ""12662435"", ""24510595"", ""12100963"", ""8300657"", ""18834078"", ""20996244"", ""35987381"", ""23915841"", ""23460562""]","[0.191975, 0.186356, 0.184694, 0.183755, 0.183321, 0.178487, 0.177337, 0.176831, 0.170517, 0.170513]",0.0,0.0,0.0
tfidf,636,"[""22025252"", ""42708716"", ""24294572"", ""15113221"", ""16364639"", ""14328288"", ""34016944"", ""34071621"", ""51386222"", ""16201748""]","[0.397738, 0.32445, 0.310818, 0.201958, 0.1847, 0.181716, 0.175103, 0.171819, 0.158189, 0.146852]",0.5,0.333333,1.0
tfidf,637,"[""73473433"", ""31019903"", ""154243324"", ""29845974"", ""24318630"", ""45548062"", ""31612088"", ""18872233"", ""20491205"", ""16625620""]","[0.327216, 0.293741, 0.288396, 0.276701, 0.261851, 0.224738, 0.209665, 0.19606, 0.194044, 0.190136]",0.0,0.0,0.0
tfidf,641,"[""24865781"", ""5912283"", ""24346598"", ""37156349"", ""50670403"", ""7239105"", ""45581752"", ""12672066"", ""24285403"", ""9748934""]","[0.264506, 0.220798, 0.158353, 0.146248, 0.137888, 0.136939, 0.132825, 0.124411, 0.119345, 0.10667]",0.386853,0.5,0.5
tfidf,644,"[""120626"", ""16389141"", ""26025820"", ""21641088"", ""2481032"", ""10190462"", ""195352"", ""36799998"", ""11481946"", ""24921368""]","[0.272798, 0.258672, 0.231745, 0.22697, 0.22665, 0.214272, 0.202843, 0.202471, 0.192908, 0.185631]",0.0,0.0,0.0
tfidf,649,"[""12789595"", ""3202143"", ""16284655"", ""11253758"", ""10765888"", ""36178047"", ""9278263"", ""15041758"", ""24159217"", ""13494853""]","[0.21541, 0.174379, 0.14415, 0.142464, 0.12521, 0.114667, 0.112899, 0.106124, 0.096455, 0.096418]",1.0,1.0,1.0
