mode,method_name,budget_mode,compression_mode,query_id,docs_used,prompt_tokens,completion_tokens,total_tokens,token_source,generation_time_ms,answer_f1,answer_coverage,semantic_similarity,ndcg_at_10,mrr_at_10,selected_doc_ids,answer,fallback_used,fallback_reason,first_pass_tokens,fallback_tokens
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_4448,0,74,32,106,provider,1855,0.325581,0.352941,0.554695,0.0,0.0,[],"The provided documents do not contain information about when Volanesorsen was approved in the EU. Therefore, the evidence is insufficient to answer this question.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_4448,3,928,26,954,provider,7457,0.571429,0.470588,0.582443,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412""]",The evidence from Document 1 indicates that Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_4448,5,1746,48,1794,provider,8683,0.826087,1.0,0.974088,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911""]",The evidence from Document 1 states that Volanesorsen was approved in the EU for the treatment of adult patients with Familial Chylomicronemia Syndrome (FCS) in May 2019.,False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_4448,7,2480,26,2506,provider,7311,0.571429,0.470588,0.582443,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197""]",The evidence from Document 1 indicates that Volanesorsen was approved in the EU in May 2019.,False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_4448,10,3362,22,3384,provider,8699,0.625,0.470588,0.589149,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197"", ""bioasq_23899985"", ""bioasq_31749075"", ""bioasq_32100250""]",The evidence indicates that Volanesorsen was approved in the EU in May 2019.,False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_4448,7,2480,26,2506,provider,1789,0.571429,0.470588,0.582443,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412"", ""bioasq_31100030"", ""bioasq_22758911"", ""bioasq_28229309"", ""bioasq_24109197""]",The evidence from Document 1 indicates that Volanesorsen was approved in the EU in May 2019.,False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_4448,1,368,22,390,provider,1546,0.625,0.470588,0.597116,1.0,1.0,"[""bioasq_31301033""]",The evidence suggests that Volanesorsen was approved in the EU in May 2019.,False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_4448,3,867,19,886,provider,7935,0.642857,0.470588,0.623573,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28929412""]","In May 2019, Volanesorsen was approved in the EU.",False,,886,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_4448,3,437,19,456,provider,4293,0.642857,0.470588,0.623573,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28229309""]","In May 2019, Volanesorsen was approved in the EU.",False,,456,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_4448,3,437,19,456,provider,1411,0.642857,0.470588,0.623573,1.0,1.0,"[""bioasq_31301033"", ""bioasq_23605694"", ""bioasq_28229309""]","In May 2019, Volanesorsen was approved in the EU.",False,ultra_route:focused_or_concentrated,456,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_2483,0,101,41,142,provider,3803,0.565217,0.631579,0.888547,0.0,0.0,[],"The provided documents do not contain enough evidence to definitively answer whether the human bombesin receptors, GRPR and NMBR, are frequently overexpressed in lung-cancers.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_2483,3,1536,80,1616,provider,20571,0.424242,0.631579,0.903927,0.493523,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713""]","The documents provided do not directly mention the overexpression of human bombesin receptors, GRPR and NMBR, by lung-cancers. However, they do show that these receptors are present in pulmonary carcinoids (Document 1) and that a nonpeptide antagonist for the neuromedin B (NMB) receptor (which",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_2483,5,2670,80,2750,provider,18773,0.411765,0.631579,0.897787,0.623847,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713"", ""bioasq_20438784"", ""bioasq_21347402""]","The documents provided do not directly mention the overexpression of human bombesin receptors, GRPR and NMBR, by lung-cancers. However, they do indicate that these receptors are present in pulmonary carcinoids (Document 1) and that specific antagonists for BRS-3, one of the bombesin receptors, can inhib",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_2483,7,4096,80,4176,provider,45143,0.235294,0.421053,0.71281,0.832504,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713"", ""bioasq_20438784"", ""bioasq_21347402"", ""bioasq_18975117"", ""bioasq_10545285""]","The provided texts do not directly mention lung cancer caused by overexpression of gastrin-releasing peptide receptors (GRPR). However, they do suggest that GRP and other bombesin family peptides like neuromedin B (NMB) can act as autocrine growth factors for non-small cell lung carcinoma (NSCLC), meaning",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_2483,10,4096,80,4176,provider,44654,0.2,0.263158,0.234603,0.919975,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713"", ""bioasq_20438784"", ""bioasq_21347402"", ""bioasq_18975117"", ""bioasq_10545285"", ""bioasq_8022486"", ""bioasq_31939155"", ""bioasq_22828605""]","The texts provided discuss various aspects of ligand-receptor interactions, particularly in the context of cytokines and their receptors. Here's a summary of some key points:

1. Jak family kinases, such as Jak-3, are involved in tyrosine phosphorylation and activation following ligand binding to cytokine receptors (Document",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_2483,7,4096,80,4176,provider,44526,0.235294,0.421053,0.71281,0.832504,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713"", ""bioasq_20438784"", ""bioasq_21347402"", ""bioasq_18975117"", ""bioasq_10545285""]","The provided texts do not directly mention lung cancer caused by overexpression of gastrin-releasing peptide receptors (GRPR). However, they do suggest that GRP and other bombesin family peptides like neuromedin B (NMB) can act as autocrine growth factors for non-small cell lung carcinoma (NSCLC), meaning",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_2483,1,606,80,686,provider,12234,0.376812,0.631579,0.799592,0.302602,1.0,"[""bioasq_21060250""]","Yes, according to the provided document, both human bombesin receptors GRPR and NMBR are present on lung-cancer (pulmonary carcinoids) as well as intestinal carcinoids. However, the evidence does not suggest that they are frequently overexpressed in lung-cancers compared to intestinal carcinoids. The document states that the",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_2483,3,1184,80,1264,provider,16019,0.411765,0.631579,0.904011,0.493523,1.0,"[""bioasq_21060250"", ""bioasq_25554218"", ""bioasq_18031713""]","The documents provided do not directly mention the overexpression of human bombesin receptors GRPR and NMBR by lung-cancers. However, they do show that these receptors are present in pulmonary carcinoids (Document 1) and that a BRS-3 antagonist, ML-18, binds to GRPR and NMBR with",False,,1264,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_2483,3,658,80,738,provider,11073,0.371429,0.684211,0.862021,0.644824,1.0,"[""bioasq_21060250"", ""bioasq_18975117"", ""bioasq_25554218""]","Yes, based on the provided documents, it can be inferred that both GRPR and NMBR, which are human bombesin receptors, are frequently overexpressed by lung-cancers. This is evident from Document 1 where all three bombesin receptor subtypes (GRPR, NMBR, and BRS-3) were found to be present in",False,,738,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_2483,3,658,80,738,provider,6519,0.371429,0.684211,0.862021,0.644824,1.0,"[""bioasq_21060250"", ""bioasq_18975117"", ""bioasq_25554218""]","Yes, based on the provided documents, it can be inferred that both GRPR and NMBR, which are human bombesin receptors, are frequently overexpressed by lung-cancers. This is evident from Document 1 where all three bombesin receptor subtypes (GRPR, NMBR, and BRS-3) were found to be present in",False,ultra_route:focused_or_concentrated,738,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_339,0,84,34,118,provider,3285,0.222222,0.232143,0.715045,0.0,0.0,[],The provided documents do not contain information about mutational biases introduced due to directional mutation pressure between specific types of DNA bases. Evidence is insufficient.,False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_339,3,1314,80,1394,provider,17273,0.413333,0.428571,0.842113,0.469,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), which is referred to as directional mutation pressure. This information can be found in Document 1, where it states that directional mutation pressure for variation of the DNA G + C content due to mutational biases between alpha-",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_339,5,1933,80,2013,provider,12316,0.450331,0.428571,0.837699,0.648932,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886"", ""bioasq_1556753""]","The documents suggest that directional mutation pressure is introduced between alpha-bases (A or T) and gamma-bases (G or C). However, it's important to note that this information is not explicitly stated as being related to mutational biases between two strands of DNA. Instead, it refers to the directional mutation pressure for variation of the DNA G +",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_339,7,2434,80,2514,provider,11401,0.372414,0.392857,0.811821,0.800694,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886"", ""bioasq_1556753"", ""bioasq_8411203"", ""bioasq_2253708""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), which is referred to as directional mutation pressure. This is evident from Documents 1, 2, 4, 5, and 7. However, it's important to note that the documents do not explicitly state",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_339,10,3263,80,3343,provider,14892,0.380952,0.392857,0.77877,1.0,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886"", ""bioasq_1556753"", ""bioasq_8411203"", ""bioasq_2253708"", ""bioasq_8433382"", ""bioasq_1978331"", ""bioasq_3454289""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), which is referred to as directional mutation pressure. This is evident in Document 1, where it mentions the parity rules for evaluating biases in synonymous codon usage, including directional mutation pressure for variation of",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_339,7,2434,80,2514,provider,6881,0.372414,0.392857,0.811821,0.800694,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886"", ""bioasq_1556753"", ""bioasq_8411203"", ""bioasq_2253708""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), which is referred to as directional mutation pressure. This is evident from Documents 1, 2, 4, 5, and 7. However, it's important to note that the documents do not explicitly state",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_339,4,1574,57,1631,provider,4900,0.412214,0.410714,0.797156,0.563788,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886""]","Mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), according to the documents provided. This is referred to as directional mutation pressure, which can cause variations in the DNA G + C content.",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_339,3,1017,80,1097,provider,15177,0.370861,0.410714,0.801683,0.469,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C). This is referred to as directional mutation pressure, which can affect the DNA G + C content (Document 1). However, it's important to note that the documents do not explicitly state that these biases are introduced between all",False,,1097,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_339,4,1218,80,1298,provider,16495,0.373333,0.410714,0.799821,0.563788,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), which is referred to as directional mutation pressure. However, it's important to note that the documents do not explicitly mention these biases being introduced between different types of DNA bases other than alpha and gamma.

Evidence",False,,1298,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_339,4,1218,80,1298,provider,6820,0.373333,0.410714,0.799821,0.563788,1.0,"[""bioasq_7723058"", ""bioasq_20838599"", ""bioasq_7932780"", ""bioasq_3357886""]","The documents provide evidence that mutational biases are introduced between alpha-bases (A or T) and gamma-bases (G or C), which is referred to as directional mutation pressure. However, it's important to note that the documents do not explicitly mention these biases being introduced between different types of DNA bases other than alpha and gamma.

Evidence",False,ultra_route:focused_or_concentrated,1298,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_647,0,83,64,147,provider,5544,0.446809,0.413043,0.828614,0.0,0.0,[],"The provided documents do not contain specific information about which genes are associated with autosomal dominant Charcot-Marie-Tooth. However, according to other reliable sources, some of the genes known to be associated with this condition include PMP22, MPZ, and GJB1.",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_647,3,1408,80,1488,provider,18470,0.232558,0.195652,0.58963,0.469,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592""]","The documents provided indicate that Dominant intermediate Charcot-Marie-Tooth neuropathy is associated with mutations in dynamin 2 (DNM2). Specifically, the documents mention several DNM2 mutations such as Gly358Arg, Asp551_Glu553del, Lys550fs, Lys5",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_647,5,2324,80,2404,provider,15321,0.252874,0.217391,0.580719,0.648932,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495"", ""bioasq_21753178""]","The documents provide evidence that mutations in dynamin 2 (DNM2) are associated with autosomal dominant Charcot-Marie-Tooth neuropathy type B. Specifically, the documents mention several DNM2 mutations such as Gly358Arg, Asp551_Glu553del, Lys550",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_647,7,2824,80,2904,provider,11711,0.276596,0.26087,0.5073,0.72733,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495"", ""bioasq_21753178"", ""bioasq_17636067"", ""bioasq_25400662""]","The documents provide evidence that mutations in dynamin 2 (DNM2) are associated with autosomal dominant Charcot-Marie-Tooth neuropathy type B. Specifically, Document 1 discusses the role of DNM2 mutants in impairing myelination and causing defects in clathrin-mediated endocytosis in",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_647,10,3800,80,3880,provider,16723,0.291667,0.26087,0.609892,0.926636,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495"", ""bioasq_21753178"", ""bioasq_17636067"", ""bioasq_25400662"", ""bioasq_25337607"", ""bioasq_18231710"", ""bioasq_12481988""]","The documents provide evidence that mutations in dynamin 2 (DNM2) are associated with autosomal dominant Charcot-Marie-Tooth neuropathy type B. Specifically, Document 1 discusses the study of disease mechanisms in this type of Charcot-Marie-Tooth neuropathy caused by mutations in DNM2.",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_647,5,2324,80,2404,provider,7003,0.252874,0.217391,0.580719,0.648932,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495"", ""bioasq_21753178""]","The documents provide evidence that mutations in dynamin 2 (DNM2) are associated with autosomal dominant Charcot-Marie-Tooth neuropathy type B. Specifically, the documents mention several DNM2 mutations such as Gly358Arg, Asp551_Glu553del, Lys550",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_647,4,1769,80,1849,provider,7004,0.30303,0.282609,0.676372,0.563788,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495""]","The documents provided indicate that Dominant intermediate Charcot-Marie-Tooth neuropathy type B is associated with mutations in dynamin 2 (DNM2). However, the evidence does not suggest any other specific genes associated with autosomal dominant Charcot-Marie-Tooth. The other documents mention Charcot-Marie-Tooth disease",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_647,3,1047,80,1127,provider,15123,0.258824,0.217391,0.683802,0.469,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592""]","The documents provided suggest that autosomal dominant Charcot-Marie-Tooth is associated with mutations in dynamin 2 (DNM2). Specifically, the documents mention several DNM2 mutations such as Gly358Arg, Asp551_Glu553del, Lys550fs, Lys558",False,,1127,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_647,4,1315,68,1383,provider,16495,0.311111,0.282609,0.609226,0.563788,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495""]",The documents provide evidence that mutations in dynamin 2 (DNM2) are associated with autosomal dominant Charcot-Marie-Tooth neuropathy type B. No other genes are directly linked to autosomal dominant Charcot-Marie-Tooth in the provided documents.,False,,1383,0
task_aware_coverage_ultra,TACER,task_aware_coverage_ultra,task_aware_ultra,bioasq_647,4,1315,68,1383,provider,5657,0.311111,0.282609,0.609226,0.563788,1.0,"[""bioasq_22451505"", ""bioasq_19502294"", ""bioasq_15099592"", ""bioasq_14561495""]",The documents provide evidence that mutations in dynamin 2 (DNM2) are associated with autosomal dominant Charcot-Marie-Tooth neuropathy type B. No other genes are directly linked to autosomal dominant Charcot-Marie-Tooth in the provided documents.,False,ultra_route:focused_or_concentrated,1383,0
no_retrieval_full,No Retrieval,no_retrieval,full,bioasq_3617,0,76,80,156,provider,6839,0.31405,0.196078,0.577126,0.0,0.0,[],"The documents provided do not explicitly state the aim of iodine prophylaxis. However, iodine prophylaxis is often used to prevent or reduce the risk of goiter (an enlarged thyroid gland) and other thyroid diseases caused by iodine deficiency in areas where dietary intake of iodine is low. The aim is essentially to",False,,0,0
fixed_3_full,Fixed Small Context,fixed_3,full,bioasq_3617,3,1173,80,1253,provider,16499,0.34188,0.294118,0.712822,0.765361,1.0,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024""]","The aim of iodine prophylaxis, as stated in the provided documents, is to protect against intake of radioactive iodine isotopes, particularly for pregnant and breast-feeding women, newborns, and children under 18 years, during nuclear accidents. This is done by administering iodine tablets or potassium iodide pills to",False,,0,0
fixed_5_full,Fixed Medium Context,fixed_5,full,bioasq_3617,5,1870,80,1950,provider,13154,0.413793,0.313725,0.730396,0.967468,1.0,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024"", ""bioasq_27655110"", ""bioasq_29531424""]","The aim of iodine prophylaxis, as stated in the documents, is to protect against intake of radioactive iodine isotopes, particularly in children and pregnant or breast-feeding women, during nuclear accidents. This is done by administering iodine tablets (usually potassium iodide) to block radioiodine uptake by the",False,,0,0
fixed_7_full,Fixed Large Context,fixed_7,full,bioasq_3617,7,2485,80,2565,provider,12865,0.40678,0.313725,0.7141,0.967468,1.0,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024"", ""bioasq_27655110"", ""bioasq_29531424"", ""bioasq_19636526"", ""bioasq_27837588""]","The aim of iodine prophylaxis, as stated in the documents, is to protect against intake of radioactive iodine isotopes, particularly in children and pregnant or breast-feeding women, during nuclear accidents. This is done by administering iodine tablets (usually in the form of potassium iodide) to block radioiodine u",False,,0,0
fixed_10_full,Fixed Full Context,fixed_10,full,bioasq_3617,10,3871,80,3951,provider,20944,0.448,0.352941,0.74044,0.967468,1.0,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024"", ""bioasq_27655110"", ""bioasq_29531424"", ""bioasq_19636526"", ""bioasq_27837588"", ""bioasq_22005615"", ""bioasq_15132715"", ""bioasq_24300339""]","The aim of iodine prophylaxis, as stated in the documents, is to protect against intake of radioactive iodine isotopes, particularly in children and pregnant or breastfeeding women, during nuclear accidents. This is done to reduce the risk for radiogenic thyroid cancer. The documents suggest that this protection can be achieved through the administration of iodine table",False,,0,0
heuristic_rules_full,Heuristic Rules,heuristic_rules,full,bioasq_3617,7,2485,80,2565,provider,7097,0.40678,0.313725,0.7141,0.967468,1.0,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024"", ""bioasq_27655110"", ""bioasq_29531424"", ""bioasq_19636526"", ""bioasq_27837588""]","The aim of iodine prophylaxis, as stated in the documents, is to protect against intake of radioactive iodine isotopes, particularly in children and pregnant or breast-feeding women, during nuclear accidents. This is done by administering iodine tablets (usually in the form of potassium iodide) to block radioiodine u",False,,0,0
adaptive_k_full,Adaptive-k,adaptive_k,full,bioasq_3617,1,555,80,635,provider,6953,0.31405,0.254902,0.694128,0.469279,1.0,"[""bioasq_17205086""]","The aim of iodine prophylaxis, as stated in the provided document, is to protect against intake of radioactive iodine isotopes, particularly for pregnant and breast-feeding women, newborns, and children under 18 years. This is done to reduce the risk for radiogenic thyroid cancer, especially in children, as confirmed by an epid",False,,0,0
answer_aware_fallback,Safe Adaptive Context,answer_aware_fallback,compact_then_full_fallback,bioasq_3617,3,778,80,858,provider,12975,0.366667,0.294118,0.795514,0.765361,1.0,"[""bioasq_17205086"", ""bioasq_10566200"", ""bioasq_23786024""]","The aim of iodine prophylaxis, as stated in the documents, is to protect against intake of radioactive iodine isotopes, particularly in the thyroid, during nuclear accidents. This is done by administering iodine tablets or potassium iodide pills. The evidence suggests that this measure is relevant in emergency situations where radioactive iodine",False,,858,0
coverage_guided_ultra,Coverage-Guided Ultra,coverage_guided_ultra,coverage_guided_ultra,bioasq_3617,2,481,80,561,provider,10337,0.330709,0.294118,0.676441,0.469279,1.0,"[""bioasq_17205086"", ""bioasq_23786024""]","The documents suggest that the aim of iodine prophylaxis is to protect against intake of radioactive iodine isotopes, particularly in situations where such release may occur due to accidents with nuclear reactors. However, it should be noted that this is not the only aim as other countermeasures like sheltering and evacuation also play a role (Document 1). In",False,,561,0
