dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
BioASQ,TACER,task_aware_coverage_ultra,0.581004,0.91,0.313699,0.464341,0.740165,95.5%,98.3%,656.3,80.8%,0.0%
HotpotQA,No Retrieval,no_retrieval_full,0.0,0.0,0.309072,0.306123,0.470348,48.0%,63.0%,147.91,91.4%,0.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.596062,0.7675,0.53189,0.531027,0.644139,82.5%,86.3%,556.92,67.7%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.64131,0.77975,0.555306,0.554611,0.663382,86.2%,88.8%,863.4,49.9%,0.0%
HotpotQA,Fixed Top-7,fixed_7_full,0.679501,0.786179,0.600881,0.605397,0.709987,93.2%,95.1%,1192.27,30.8%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.717349,0.790206,0.644556,0.65073,0.746732,100.0%,100.0%,1721.8,0.0%,0.0%
HotpotQA,Heuristic Rules,heuristic_rules_full,0.665239,0.782798,0.57514,0.579539,0.691306,89.2%,92.6%,1079.75,37.3%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.539579,0.749847,0.489965,0.492777,0.605493,76.0%,81.1%,510.24,70.4%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.716507,0.790206,0.627005,0.630123,0.730021,97.3%,97.8%,1164.89,32.3%,0.0%
HotpotQA,Coverage-Guided Ultra,coverage_guided_ultra,0.630262,0.780417,0.463644,0.466944,0.583081,71.9%,78.1%,452.37,73.7%,0.5%
HotpotQA,TACER,task_aware_coverage_ultra,0.715832,0.790873,0.627005,0.630123,0.724261,97.3%,97.0%,1160.92,32.6%,0.0%
MSMARCO,No Retrieval,no_retrieval_full,0.0,0.0,0.101411,0.136235,0.282955,51.8%,59.8%,110.88,92.1%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.385599,0.36,0.196697,0.580155,0.468497,100.6%,99.0%,528.35,62.2%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.474519,0.40325,0.197695,0.624256,0.472222,101.1%,99.8%,785.55,43.8%,0.0%
MSMARCO,Fixed Top-7,fixed_7_full,0.535107,0.428607,0.198178,0.621408,0.474793,101.3%,100.3%,1035.16,26.0%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.552481,0.434579,0.195618,0.614194,0.473325,100.0%,100.0%,1397.97,0.0%,0.0%
MSMARCO,Heuristic Rules,heuristic_rules_full,0.487252,0.40894,0.2006,0.616731,0.475987,102.5%,100.6%,813.03,41.8%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.431013,0.37028,0.199485,0.549167,0.466066,102.0%,98.5%,718.35,48.6%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.515606,0.420329,0.195315,0.621966,0.468943,99.8%,99.1%,859.26,38.5%,1.0%
MSMARCO,Coverage-Guided Ultra,coverage_guided_ultra,0.431013,0.37028,0.193461,0.533332,0.451645,98.9%,95.4%,642.04,54.1%,0.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.431013,0.37028,0.194744,0.52266,0.455981,99.6%,96.3%,642.36,54.1%,0.0%
ASQA,No Retrieval,no_retrieval_full,0.0,0.0,0.21697,0.167465,0.401594,51.5%,51.5%,113.11,90.5%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.700285,0.939167,0.397638,0.378596,0.755844,94.3%,96.9%,422.56,64.6%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.784446,0.941417,0.415788,0.413732,0.770819,98.6%,98.8%,645.67,45.9%,0.0%
ASQA,Fixed Top-7,fixed_7_full,0.814437,0.943083,0.411959,0.416574,0.775161,97.7%,99.4%,860.07,28.0%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.832459,0.943708,0.421549,0.419307,0.779894,100.0%,100.0%,1194.48,0.0%,0.0%
ASQA,Heuristic Rules,heuristic_rules_full,0.772155,0.94225,0.410594,0.401821,0.771334,97.4%,98.9%,669.04,44.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.614887,0.93625,0.368112,0.33681,0.730196,87.3%,93.6%,347.94,70.9%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.703077,0.939167,0.401558,0.37973,0.764826,95.3%,98.1%,497.99,58.3%,9.0%
ASQA,Coverage-Guided Ultra,coverage_guided_ultra,0.649432,0.941833,0.382296,0.354035,0.741209,90.7%,95.0%,407.31,65.9%,0.0%
ASQA,TACER,task_aware_coverage_ultra,0.706057,0.939167,0.403627,0.38164,0.763817,95.7%,97.9%,484.4,59.4%,7.0%
SciFact,Fixed Top-3,fixed_3_full,0.640479,0.6375,0.24901,0.832253,0.545052,101.1%,99.3%,1211.4,67.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.655171,0.644,0.251202,0.828757,0.547587,102.0%,99.8%,1944.08,48.2%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.6802,0.653591,0.246389,0.823517,0.548904,100.0%,100.0%,3752.56,0.0%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.602259,0.605833,0.261691,0.830441,0.548551,106.2%,99.9%,868.04,76.9%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.640479,0.6375,0.248663,0.827221,0.549058,100.9%,100.0%,920.85,75.5%,3.5%
SciFact,TACER,task_aware_coverage_ultra,0.620226,0.620833,0.25104,0.815124,0.551125,101.9%,100.4%,656.5,82.5%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.658399,0.94,0.330337,0.501033,0.755773,101.3%,99.9%,1159.58,68.1%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.771813,0.94125,0.326849,0.509961,0.751672,100.2%,99.4%,1852.78,49.0%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.904823,0.942639,0.326127,0.50925,0.756476,100.0%,100.0%,3634.96,0.0%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.696999,0.940833,0.335717,0.498658,0.75765,102.9%,100.2%,1222.87,66.4%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.660054,0.94,0.328688,0.505505,0.750119,100.8%,99.2%,833.26,77.1%,2.5%
BioASQ,TACER,task_aware_coverage_ultra,0.713701,0.940833,0.320255,0.490641,0.749232,98.2%,99.0%,804.62,77.9%,0.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.800442,0.950833,0.644421,0.646373,0.740106,91.8%,93.1%,591.64,66.1%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.828549,0.951833,0.66308,0.673956,0.761823,94.4%,95.8%,903.75,48.3%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.86106,0.952389,0.702358,0.70573,0.795138,100.0%,100.0%,1746.72,0.0%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.740696,0.947222,0.559929,0.55998,0.684042,79.7%,86.0%,595.61,65.9%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.856837,0.952389,0.689445,0.695706,0.775636,98.2%,97.5%,1195.4,31.6%,0.0%
HotpotQA,TACER,task_aware_coverage_ultra,0.855651,0.952389,0.676029,0.687039,0.763998,96.3%,96.1%,1191.86,31.8%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.638271,0.605833,0.218329,0.659635,0.479565,108.4%,100.8%,539.88,62.8%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.706736,0.642833,0.204462,0.647835,0.476685,101.5%,100.2%,792.68,45.4%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.730251,0.65002,0.201479,0.647586,0.475529,100.0%,100.0%,1450.78,0.0%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.714771,0.642061,0.204335,0.644888,0.477742,101.4%,100.5%,1056.47,27.2%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.688636,0.631292,0.204247,0.633835,0.467324,101.4%,98.3%,675.91,53.4%,1.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.714771,0.642061,0.199704,0.635376,0.470285,99.1%,98.9%,949.41,34.6%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.778819,0.985,0.41765,0.409386,0.778701,98.5%,99.4%,468.35,64.9%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.867755,0.98625,0.42402,0.429768,0.783787,100.0%,100.0%,687.68,48.4%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.898356,0.98625,0.424214,0.435775,0.783762,100.0%,100.0%,1333.86,0.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.812373,0.98625,0.415177,0.402254,0.778364,97.9%,99.3%,474.69,64.4%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.779659,0.985,0.412086,0.411551,0.780425,97.1%,99.6%,483.24,63.8%,4.0%
ASQA,TACER,task_aware_coverage_ultra,0.78039,0.985,0.418344,0.413872,0.781312,98.6%,99.7%,492.65,63.1%,3.0%
SciFact,Fixed Top-3,fixed_3_full,0.634527,0.635,0.252087,0.829984,0.547019,101.8%,99.6%,1224.52,67.7%,0.0%
SciFact,Fixed Top-5,fixed_5_full,0.663181,0.64875,0.251716,0.835277,0.544674,101.7%,99.2%,1950.79,48.5%,0.0%
SciFact,Fixed Top-10,fixed_10_full,0.686115,0.657468,0.247615,0.828207,0.549076,100.0%,100.0%,3789.59,0.0%,0.0%
SciFact,Adaptive-k,adaptive_k_full,0.617563,0.619583,0.264054,0.832711,0.549601,106.6%,100.1%,885.53,76.6%,0.0%
SciFact,Safe Adaptive Context,answer_aware_fallback,0.636681,0.63625,0.248906,0.821381,0.550562,100.5%,100.3%,931.03,75.4%,4.5%
SciFact,TACER,task_aware_coverage_ultra,0.642152,0.639583,0.254747,0.835102,0.554197,102.9%,100.9%,677.16,82.1%,0.0%
BioASQ,Fixed Top-3,fixed_3_full,0.657022,0.94,0.333771,0.508049,0.758277,102.8%,100.6%,1180.96,68.8%,0.0%
BioASQ,Fixed Top-5,fixed_5_full,0.767636,0.94325,0.330169,0.516148,0.756346,101.6%,100.4%,1882.55,50.2%,0.0%
BioASQ,Fixed Top-10,fixed_10_full,0.894741,0.944083,0.324817,0.501668,0.753521,100.0%,100.0%,3780.05,0.0%,0.0%
BioASQ,Adaptive-k,adaptive_k_full,0.691551,0.941,0.337585,0.492098,0.75529,103.9%,100.2%,1240.25,67.2%,0.0%
BioASQ,Safe Adaptive Context,answer_aware_fallback,0.660114,0.94,0.329591,0.508484,0.748341,101.5%,99.3%,896.87,76.3%,4.0%
BioASQ,TACER,task_aware_coverage_ultra,0.711819,0.941,0.324302,0.485887,0.747773,99.8%,99.2%,805.35,78.7%,1.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.801574,0.953333,0.646921,0.652623,0.744062,89.2%,91.6%,591.87,65.8%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.832321,0.954583,0.683631,0.695647,0.77894,94.3%,95.9%,906.53,47.6%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.874641,0.955139,0.725215,0.73573,0.812608,100.0%,100.0%,1731.27,0.0%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.743762,0.952222,0.573469,0.57573,0.692947,79.1%,85.3%,582.41,66.4%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.868499,0.955139,0.701984,0.714956,0.788718,96.8%,97.1%,1190.94,31.2%,0.0%
HotpotQA,TACER,task_aware_coverage_ultra,0.867179,0.953889,0.704719,0.716563,0.791356,97.2%,97.4%,1186.7,31.5%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.648271,0.615833,0.220423,0.663857,0.47963,109.6%,100.1%,538.5,62.8%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.716382,0.652333,0.204187,0.646827,0.478003,101.5%,99.8%,791.41,45.3%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.741465,0.660234,0.201178,0.657331,0.479121,100.0%,100.0%,1447.45,0.0%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.723584,0.650609,0.204395,0.647243,0.478882,101.6%,100.0%,1071.27,26.0%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.696483,0.640042,0.203376,0.632295,0.468757,101.1%,97.8%,676.51,53.3%,1.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.723584,0.650609,0.200122,0.634993,0.470085,99.5%,98.1%,959.2,33.7%,0.0%
ASQA,Fixed Top-3,fixed_3_full,0.794749,0.985,0.415969,0.409439,0.781881,99.6%,99.8%,456.65,57.2%,0.0%
ASQA,Fixed Top-5,fixed_5_full,0.888774,0.98625,0.418641,0.427076,0.784611,100.2%,100.2%,647.54,39.3%,0.0%
ASQA,Fixed Top-10,fixed_10_full,0.924695,0.98625,0.417842,0.425609,0.783324,100.0%,100.0%,1066.49,0.0%,0.0%
ASQA,Adaptive-k,adaptive_k_full,0.825496,0.98625,0.414962,0.403715,0.780825,99.3%,99.7%,481.64,54.8%,0.0%
ASQA,Safe Adaptive Context,answer_aware_fallback,0.798813,0.985,0.414382,0.411775,0.780628,99.2%,99.7%,486.76,54.4%,4.5%
ASQA,TACER,task_aware_coverage_ultra,0.796831,0.985,0.417201,0.410691,0.780995,99.8%,99.7%,485.88,54.4%,5.5%
