dataset,method,code_mode,ndcg_at_10,mrr_at_10,answer_f1,answer_coverage,semantic_similarity,f1_retained_vs_top10,semantic_similarity_retained_vs_top10,total_tokens,token_reduction_vs_top10,fallback_rate
BioASQ,TACER,task_aware_coverage_ultra,0.581004,0.91,0.316297,0.43984,0.732742,130.7%,125.3%,785.74,79.8%,0.0%
HotpotQA,No Retrieval,no_retrieval_full,0.0,0.0,0.204492,0.253147,0.407097,53.1%,77.6%,144.61,92.9%,0.0%
HotpotQA,Fixed Top-3,fixed_3_full,0.596062,0.7675,0.294086,0.345519,0.443179,76.4%,84.4%,638.5,68.7%,0.0%
HotpotQA,Fixed Top-5,fixed_5_full,0.64131,0.77975,0.333123,0.387385,0.480517,86.6%,91.6%,1008.71,50.5%,0.0%
HotpotQA,Fixed Top-7,fixed_7_full,0.679501,0.786179,0.358436,0.413754,0.510124,93.1%,97.2%,1403.3,31.1%,0.0%
HotpotQA,Fixed Top-10,fixed_10_full,0.717349,0.790206,0.38484,0.442087,0.524856,100.0%,100.0%,2037.72,0.0%,0.0%
HotpotQA,Heuristic Rules,heuristic_rules_full,0.665239,0.782798,0.34771,0.405004,0.501185,90.4%,95.5%,1268.18,37.8%,0.0%
HotpotQA,Adaptive-k,adaptive_k_full,0.539579,0.749847,0.282173,0.345301,0.432772,73.3%,82.5%,582.46,71.4%,0.0%
HotpotQA,Safe Adaptive Context,answer_aware_fallback,0.716507,0.790206,0.369449,0.41792,0.527692,96.0%,100.5%,1408.97,30.9%,0.0%
HotpotQA,Coverage-Guided Ultra,coverage_guided_ultra,0.630262,0.780417,0.257919,0.306468,0.402309,67.0%,76.7%,529.72,74.0%,0.5%
HotpotQA,TACER,task_aware_coverage_ultra,0.715832,0.790873,0.374449,0.42292,0.532015,97.3%,101.4%,1404.07,31.1%,0.0%
MSMARCO,No Retrieval,no_retrieval_full,0.0,0.0,0.110206,0.203631,0.354508,52.5%,75.3%,113.83,93.0%,0.0%
MSMARCO,Fixed Top-3,fixed_3_full,0.385599,0.36,0.204767,0.526017,0.453407,97.5%,96.3%,584.15,64.3%,0.0%
MSMARCO,Fixed Top-5,fixed_5_full,0.474519,0.40325,0.21418,0.561793,0.467596,102.0%,99.4%,891.99,45.4%,0.0%
MSMARCO,Fixed Top-7,fixed_7_full,0.535107,0.428607,0.212372,0.583407,0.471981,101.1%,100.3%,1194.05,26.9%,0.0%
MSMARCO,Fixed Top-10,fixed_10_full,0.552481,0.434579,0.210042,0.581682,0.470603,100.0%,100.0%,1634.11,0.0%,0.0%
MSMARCO,Heuristic Rules,heuristic_rules_full,0.487252,0.40894,0.212097,0.560452,0.471773,101.0%,100.2%,927.88,43.2%,0.0%
MSMARCO,Adaptive-k,adaptive_k_full,0.431013,0.37028,0.211923,0.538944,0.466006,100.9%,99.0%,815.55,50.1%,0.0%
MSMARCO,Safe Adaptive Context,answer_aware_fallback,0.515606,0.420329,0.216949,0.558001,0.46594,103.3%,99.0%,1061.11,35.1%,2.5%
MSMARCO,Coverage-Guided Ultra,coverage_guided_ultra,0.431013,0.37028,0.209388,0.486688,0.455057,99.7%,96.7%,750.55,54.1%,0.0%
MSMARCO,TACER,task_aware_coverage_ultra,0.431013,0.37028,0.208927,0.486158,0.455508,99.5%,96.8%,750.6,54.1%,0.0%
